"case_id";"case_id_length";"duration_dd"
"7697358CC1";"5";"128.0"
"79197597DF";"6";"128.0"
"84513155C3";"5";"128.04"
"8465016031";"5";"128.04"
"8603497652";"5";"128.96"
"7890567DDD";"5";"129.0"
"789057005B";"5";"129.0"
"7890572201";"5";"129.0"
"789057547A";"5";"129.0"
"7793912BA3";"5";"129.96"
"8360788485";"5";"130.04"
"7134953D77";"6";"130.04"
"91926384DB";"5";"131.0"
"9337229D1D";"5";"131.04"
"9326735932";"5";"132.04"
"853473809B";"5";"133.04"
"6942168A41";"5";"133.96"
"735570796F";"5";"133.96"
"8517981C47";"5";"133.96"
"7348783792";"6";"134.96"
"79056951E6";"5";"135.0"
"8089241CD6";"5";"135.0"
"860353018F";"5";"135.96"
"84268329BF";"5";"137.04"
"845996799D";"6";"138.04"
"8726066177";"5";"139.0"
"9214045678";"5";"139.0"
"8272435551";"6";"139.0"
"84053699EB";"6";"139.04"
"9214471604";"5";"140.0"
"9314310BC2";"5";"140.04"
"7542224822";"5";"141.04"
"9135195963";"5";"141.96"
"7191051303";"5";"143.04"
"714400181E";"6";"143.04"
"7213246EE4";"6";"143.04"
"7971327323";"5";"144.04"
"9255518712";"5";"145.0"
"8459858FA8";"5";"145.04"
"772700918C";"9";"145.96"
"67655769ED";"5";"146.04"
"7615520DE6";"5";"146.04"
"8359999969";"5";"147.04"
"6899092ECF";"5";"148.04"
"6900953E8E";"5";"148.04"
"6901230328";"5";"148.04"
"690144763A";"5";"148.04"
"690385053F";"5";"148.04"
"6903899DAC";"5";"148.04"
"6903939EAE";"5";"148.04"
"69040244D6";"5";"148.04"
"69040824B3";"5";"148.04"
"6904249E80";"5";"148.04"
"69043913B2";"5";"148.04"
"6904403D96";"5";"148.04"
"7193017966";"5";"148.04"
"9405836569";"7";"148.04"
"84246755BD";"5";"149.04"
"8335116351";"6";"149.04"
"82371306B5";"5";"149.96"
"8273830482";"7";"150.0"
"89341559EE";"5";"150.04"
"9039375839";"5";"150.96"
"9409781CEB";"5";"151.04"
"845177408C";"5";"153.04"
"9304036D62";"7";"153.04"
"75391818F8";"5";"154.04"
"7517665D66";"7";"156.04"
"7601026515";"5";"156.96"
"7048844A13";"5";"157.0"
"705663034B";"5";"157.0"
"8326013B46";"5";"157.04"
"74383554BA";"8";"158.0"
"7993733D24";"5";"158.04"
"8450386720";"5";"158.04"
"7155981654";"5";"160.04"
"829936222F";"5";"160.04"
"7989527E3D";"7";"160.04"
"7255173628";"9";"160.96"
"8347951318";"5";"161.04"
"811118057B";"5";"161.96"
"8594821EA6";"5";"161.96"
"9201963417";"5";"162.0"
"92020213F4";"5";"162.0"
"72081999FB";"5";"162.04"
"7574265136";"5";"162.04"
"8007691BA6";"5";"162.04"
"7234710F8B";"5";"162.96"
"81570144E5";"5";"163.0"
"8713930285";"5";"163.0"
"74979120B9";"5";"163.04"
"7249385DBD";"5";"164.0"
"894627185F";"5";"164.0"
"7394456221";"6";"164.96"
"765658804D";"5";"165.0"
"8941565CDA";"5";"165.04"
"69335090A2";"6";"165.04"
"7877054E95";"5";"166.96"
"81591252F3";"5";"166.96"
"83413392B3";"5";"167.04"
"687284531D";"5";"168.0"
"6855989D17";"5";"168.96"
"8515770BB4";"5";"168.96"
"9201391C0D";"5";"170.0"
"920226092D";"5";"170.0"
"8300278616";"5";"170.04"
"841284969D";"5";"170.04"
"92013190A6";"5";"171.0"
"75469070AD";"5";"172.04"
"8466351DDA";"5";"173.0"
"90892774A9";"5";"173.96"
"7967493737";"5";"175.04"
"7206046945";"5";"176.04"
"8822261815";"5";"176.04"
"6818644B06";"7";"176.04"
"697360835F";"6";"176.96"
"7934588527";"7";"177.04"
"7563120410";"5";"178.04"
"8164141E45";"5";"179.96"
"92775761EA";"5";"180.04"
"730065209F";"5";"180.96"
"8115726CF3";"5";"180.96"
"8304668CD2";"7";"181.04"
"75897457B4";"5";"182.04"
"79170658B6";"5";"182.04"
"7959884014";"7";"182.04"
"9210626107";"5";"182.96"
"7499999AF5";"5";"183.04"
"79956180B5";"7";"183.04"
"73594477C8";"5";"183.96"
"86114021BD";"5";"183.96"
"8260444E05";"5";"184.0"
"7123516F5A";"5";"184.04"
"9041731077";"5";"184.96"
"665504902C";"11";"185.96"
"67378444C3";"5";"187.04"
"8335667A02";"5";"187.04"
"67862449B3";"6";"187.04"
"74901489A8";"6";"187.04"
"801736393D";"6";"187.04"
"7934598D65";"7";"187.04"
"77496838B7";"5";"187.96"
"8164981379";"6";"187.96"
"7109961D6A";"5";"188.04"
"9049269D01";"5";"189.96"
"674166993F";"5";"190.04"
"71003176F1";"5";"190.04"
"749479005E";"5";"190.04"
"8024118FA2";"5";"190.04"
"7308946D08";"5";"192.96"
"7926261D7C";"5";"192.96"
"8298462B78";"5";"193.04"
"75450124DE";"6";"193.04"
"6729686890";"5";"194.04"
"8397386E22";"5";"194.04"
"7841805E30";"5";"194.96"
"90026261FF";"5";"194.96"
"7277752EED";"6";"194.96"
"7987735771";"5";"195.0"
"70594434A7";"7";"195.04"
"8290399DAB";"8";"195.04"
"8208465F97";"6";"195.96"
"85160903C9";"6";"195.96"
"6841923578";"5";"196.0"
"833868006D";"11";"196.04"
"80241000CC";"5";"197.04"
"7661109325";"5";"198.0"
"9346305EDD";"5";"198.04"
