"case_id";"case_id_length";"duration_dd"
"7943535C71";"7";"173.04"
"6498156FF4";"5";"174.0"
"7028924394";"7";"174.0"
"795585533D";"5";"174.04"
"8403157885";"5";"174.04"
"6784194DFB";"5";"174.96"
"8959327E84";"5";"175.0"
"6638250930";"9";"175.96"
"7976962D46";"5";"176.04"
"8335717347";"5";"176.04"
"83081061F6";"5";"177.04"
"87643824D3";"5";"178.04"
"7627755E8A";"6";"178.04"
"6925642493";"5";"178.96"
"7750443BE2";"5";"178.96"
"6973867919";"11";"178.96"
"8101110F71";"5";"179.96"
"74441567DC";"7";"179.96"
"8685513810";"5";"180.0"
"9186394425";"5";"181.0"
"748341121E";"6";"181.04"
"7851406133";"5";"181.96"
"67814261C5";"8";"182.04"
"7756360EBE";"5";"182.96"
"680556738D";"5";"183.04"
"8248732CF9";"5";"183.96"
"8609317922";"5";"184.96"
"94679320A8";"5";"185.0"
"6808004E9D";"6";"185.04"
"725226131A";"5";"187.0"
"74803872A2";"8";"187.04"
"7296517C4C";"5";"187.96"
"682299733E";"5";"188.0"
"8331561DA0";"5";"188.04"
"773723584D";"5";"188.96"
"7742108D9F";"5";"188.96"
"6996471683";"8";"188.96"
"7323238F29";"7";"189.96"
"9339618098";"5";"190.04"
"6830984253";"5";"190.96"
"68609391F9";"5";"190.96"
"7802222546";"6";"190.96"
"718225477E";"5";"191.0"
"7078845FAD";"5";"191.04"
"8407425A95";"5";"191.04"
"79366499F0";"7";"191.04"
"7936885CB0";"7";"191.04"
"836160029B";"7";"191.04"
"6841800FF4";"5";"191.96"
"7821418650";"5";"191.96"
"9151789731";"5";"191.96"
"87668823E4";"5";"192.04"
"72603251BA";"5";"192.96"
"82073821E3";"5";"192.96"
"868334287F";"5";"192.96"
"7421102719";"6";"192.96"
"6781438BA9";"8";"193.04"
"717783372B";"5";"194.0"
"8148148072";"8";"194.96"
"7183250D69";"5";"195.04"
"8316822A9F";"6";"196.04"
"7688240859";"6";"197.0"
"89895814EB";"5";"198.96"
"6568067C57";"7";"198.96"
"7171465023";"5";"199.04"
"7171294305";"6";"199.04"
"784738287B";"5";"199.96"
"7136189973";"5";"201.04"
"7835964A0C";"13";"201.96"
"7417146681";"5";"202.96"
"928991585F";"5";"203.04"
"766861661D";"5";"203.96"
"78333637A3";"10";"203.96"
"66363308C1";"5";"204.04"
"7968913B08";"5";"204.04"
"91741468C5";"7";"204.04"
"7575290F0D";"5";"205.04"
"72902031D5";"6";"205.96"
"729146319E";"6";"205.96"
"7291475B82";"6";"205.96"
"7143761212";"5";"206.04"
"9129147A6B";"5";"206.04"
"7849344B92";"5";"207.04"
"715361235F";"6";"208.04"
"84808391BE";"5";"210.0"
"8482409159";"5";"210.0"
"7552407B68";"5";"210.04"
"8150957E7D";"5";"210.96"
"7094762ECD";"9";"211.04"
"736739028F";"5";"211.96"
"681012441B";"9";"212.0"
"81088556D4";"5";"212.96"
"80757331B2";"8";"212.96"
"7794486553";"9";"212.96"
"7950174321";"7";"213.04"
"8986099B79";"6";"213.96"
"7119711B5F";"5";"214.04"
"8879247A6A";"5";"214.04"
"7803414CEF";"5";"214.96"
"69906502E0";"6";"214.96"
"7522242E75";"6";"215.04"
"6950682C3A";"11";"215.96"
"7937201179";"5";"216.04"
"8197857D98";"5";"216.96"
"7330411E82";"6";"216.96"
"689383194D";"5";"217.04"
"6609151BEE";"5";"218.04"
"6826328013";"5";"219.0"
"70589784EC";"7";"221.04"
"7103278271";"8";"221.04"
"6590983B39";"5";"221.96"
"834164600C";"8";"222.04"
"74909829E5";"5";"224.04"
"78108082AB";"5";"224.04"
"776213084E";"5";"224.96"
"8196732D37";"7";"224.96"
"680708041E";"11";"225.0"
"733674597F";"7";"225.96"
"6775691518";"6";"226.0"
"71674964CF";"5";"226.04"
"65938010B9";"5";"227.96"
"6822754AB4";"5";"227.96"
"8191015F65";"7";"227.96"
"8028095193";"5";"229.0"
"7865631C07";"5";"229.04"
"6709616647";"5";"230.04"
"778517734C";"5";"230.96"
"80979228A1";"8";"230.96"
"75824145F9";"5";"231.04"
"781953111E";"5";"232.0"
"820000495C";"6";"232.96"
"8201107796";"6";"232.96"
"8204107345";"6";"232.96"
"7636086981";"7";"233.0"
"6873781785";"6";"233.96"
"670530618F";"5";"234.0"
"68875412A3";"5";"234.96"
"77400256AF";"9";"234.96"
"89183864F2";"5";"235.0"
"8013951991";"6";"235.0"
"674197341F";"9";"235.04"
"67394577D9";"5";"237.04"
"7052036434";"8";"238.04"
"808931169C";"6";"238.96"
"70785403FF";"5";"239.04"
"78970167C1";"5";"239.04"
"726650097D";"5";"239.96"
"7809534753";"6";"240.0"
"8315358280";"5";"240.04"
"7747865C73";"5";"240.96"
"68143324A8";"6";"240.96"
"73569245BD";"8";"240.96"
"746271071B";"5";"241.04"
"9093144BCD";"5";"241.96"
"6724795463";"5";"242.04"
"65880349A2";"8";"242.96"
"766147947A";"5";"243.0"
"8230849776";"5";"243.0"
"9009738EFD";"5";"243.96"
"7859446C01";"5";"245.04"
"82959556A2";"5";"245.04"
"8440648314";"6";"246.0"
"8657332060";"7";"246.0"
"7322786A2A";"6";"246.96"
"8149465F40";"6";"246.96"
"713343157B";"5";"247.04"
"74272329BB";"5";"248.0"
"75849491ED";"5";"248.0"
"84631013E1";"6";"249.0"
"7397035263";"7";"249.0"
"790884053B";"5";"249.04"
"8188978E69";"5";"251.96"
"804005601B";"7";"251.96"
"70668472A1";"5";"252.04"
"756271777E";"5";"252.04"
"7924696205";"5";"252.04"
"77667550FC";"5";"252.96"
"7595845197";"5";"253.0"
"82717911E0";"5";"256.04"
"772032668E";"5";"256.96"
"8845131103";"5";"257.0"
"7480208EE7";"5";"257.04"
"7796340F48";"5";"259.0"
"7169524E5B";"7";"259.0"
"66642622FA";"7";"259.04"
"7327039FD8";"5";"259.96"
"71650713A3";"5";"260.0"
"9189729446";"6";"260.04"
"7365503D58";"5";"260.96"
"81502349DB";"5";"260.96"
"801262969F";"5";"261.0"
"8008815B34";"7";"261.0"
"700203888B";"5";"262.0"
"7590375F96";"5";"262.0"
"7658649516";"5";"262.0"
"6607861366";"5";"262.04"
"707185575B";"5";"264.04"
"91204777B6";"5";"265.96"
"6925768C8B";"5";"266.04"
"7376092FA9";"5";"267.0"
"786990965A";"5";"267.04"
"79667756B4";"5";"267.04"
"7244673D46";"8";"268.96"
"7563133EC7";"5";"269.0"
"7640494F18";"5";"271.0"
"81878256EF";"5";"271.0"
"7188890BB0";"7";"271.0"
"7081726929";"5";"271.04"
"7356264517";"6";"272.96"
"6916198324";"5";"273.0"
"8376080FDD";"5";"273.0"
"9135241F57";"7";"275.0"
"7133448383";"5";"276.0"
"8235412CF6";"5";"276.04"
"7253628B2D";"5";"278.0"
"7253746C8D";"5";"278.0"
"7253750FD9";"5";"278.0"
"89207091F3";"7";"278.0"
"9181574A8C";"5";"278.04"
"7317858774";"12";"278.96"
"6950082D17";"5";"279.0"
"7252013671";"5";"279.0"
"7252057ABF";"5";"279.0"
"72521653E1";"5";"279.0"
"72522065B6";"5";"279.0"
"72523371D2";"5";"279.0"
"7252398428";"5";"279.0"
"77895170C8";"10";"279.0"
"81364792E1";"7";"279.96"
"75888114F2";"5";"280.0"
"8675047B3E";"5";"280.0"
"7437321F6E";"5";"280.04"
"77580365D5";"5";"280.96"
"9042112ADD";"5";"280.96"
"76737399BE";"6";"280.96"
"941419684C";"5";"281.0"
"734577661E";"5";"281.96"
"7735483283";"5";"282.96"
"65983781C8";"5";"283.0"
"7715911B2D";"5";"283.0"
"88791602A1";"5";"283.0"
"6952267837";"5";"284.0"
"6953300CAB";"5";"284.0"
"8381646117";"7";"284.0"
"69214408F8";"5";"284.96"
"7627775F0B";"5";"285.0"
"8339798B04";"5";"285.0"
"8055120F4B";"9";"285.0"
"7650144A88";"5";"286.0"
"78414866F3";"5";"288.0"
"831041750E";"10";"288.0"
"820101078A";"15";"288.0"
"8309184B8B";"5";"289.04"
"8049379DAC";"5";"290.0"
"775303353A";"6";"290.96"
"6629136814";"6";"291.0"
"891356173A";"5";"293.0"
"7613280567";"10";"293.0"
"83066776B5";"5";"293.04"
"8885055356";"7";"294.0"
"7156286207";"10";"294.0"
"654595334D";"5";"294.04"
"7794880A75";"5";"295.0"
"846252153F";"8";"295.0"
"66875336CF";"6";"295.04"
"700801199E";"5";"296.0"
"7403547043";"5";"296.0"
"8904909360";"7";"296.0"
"90253312C1";"5";"296.96"
"779367366A";"5";"297.0"
"7666221DB0";"5";"298.0"
"78118259EA";"5";"299.0"
"7042737A6B";"5";"299.04"
"7925833C4A";"6";"299.04"
"70083029C2";"6";"300.0"
"8096390862";"7";"300.96"
"841422454D";"5";"301.0"
"7603133FD2";"7";"301.0"
"86097541C4";"7";"301.0"
"6970733ED5";"8";"302.0"
"76701464B6";"7";"302.96"
"801333908A";"7";"303.0"
"7831015602";"13";"303.04"
"8789459B03";"5";"304.0"
"8186427545";"7";"304.0"
"699807522E";"5";"305.0"
"7495221409";"5";"305.0"
"6952708425";"5";"306.0"
"738511340A";"29";"306.0"
"6691531A0F";"5";"306.04"
"770045587C";"6";"307.0"
"8181861D47";"7";"307.0"
"76238529B0";"9";"307.0"
"9031934BB6";"5";"307.96"
"661932147D";"5";"308.0"
"7413434F41";"5";"308.0"
"8034361470";"5";"308.0"
"79748026CB";"5";"309.0"
"8405380301";"5";"309.0"
"6696131E18";"8";"309.04"
"7507777D90";"5";"311.0"
"814047005C";"5";"311.96"
"8546211C69";"5";"311.96"
"9058962BEC";"5";"314.0"
"86784481D9";"7";"314.04"
"6925117355";"5";"315.0"
"6958111ED4";"5";"315.0"
"89056506DD";"5";"315.0"
"7802893EFD";"5";"316.0"
"7951522B86";"7";"317.0"
"8298417657";"7";"319.0"
"8003500921";"5";"320.0"
"8969668431";"7";"320.96"
"807384292F";"8";"320.96"
"78680074C6";"9";"321.04"
"8471064F24";"5";"322.0"
"8621802815";"5";"322.0"
"8127740739";"10";"322.0"
"7065194E84";"5";"322.04"
"8291446DAE";"6";"322.04"
"8337032074";"5";"323.0"
"76030825BF";"8";"323.0"
"73752286AD";"7";"325.0"
"82414904B2";"8";"325.0"
"6630288EBB";"6";"325.04"
"7758451C4B";"5";"326.0"
"9092511172";"5";"327.0"
"7292689557";"8";"327.96"
"7137210403";"7";"328.0"
"6628420937";"6";"328.04"
"6964774951";"7";"329.0"
"6616971136";"5";"330.0"
"70621942DA";"5";"330.0"
"76571342DF";"10";"330.0"
"90906544FF";"5";"331.0"
"6575816706";"5";"333.0"
"7777716648";"5";"334.0"
"7779135946";"5";"334.0"
"7530792E24";"5";"335.0"
"7833475411";"5";"335.0"
"8046451D69";"6";"335.0"
"7576440413";"7";"335.0"
"8873413C0B";"7";"335.0"
"77042536B2";"6";"335.96"
"7048608753";"5";"336.04"
"6850248B78";"5";"337.0"
"826386444E";"5";"337.0"
"84075956E0";"6";"337.0"
"79951259DC";"8";"338.0"
"685260655C";"5";"341.0"
"7765128257";"7";"341.0"
"6907976222";"8";"341.0"
"7416508802";"6";"341.04"
"7261798149";"7";"342.96"
"729984784E";"5";"343.0"
"81190167F3";"5";"343.0"
"84673294EF";"5";"344.0"
"756981374C";"5";"345.0"
"76550879A0";"5";"345.0"
"7928041A64";"5";"345.0"
"7327369030";"7";"345.0"
"8073903B85";"5";"346.0"
"8562301A4D";"5";"346.0"
"8672138AA9";"5";"347.0"
"8243325EF9";"6";"347.0"
"84650582D9";"6";"347.0"
"7240133AC0";"10";"347.0"
"66244805D4";"5";"349.0"
"6946494C2E";"5";"349.0"
"6629468A0D";"6";"349.0"
"7539634ECA";"5";"350.0"
"7978886106";"5";"350.0"
"79792182FF";"5";"350.0"
"8410936BF3";"5";"350.0"
"7101970B09";"7";"350.0"
"8435020EB1";"7";"351.0"
"7698527175";"8";"351.0"
"82980138F2";"6";"352.0"
"8206586102";"6";"353.0"
"7376101719";"5";"354.0"
"7119443E35";"5";"355.0"
"7750505F0B";"5";"355.0"
"77505368A2";"5";"355.0"
"77505747FE";"5";"355.0"
"7070452192";"5";"356.0"
"7070546F20";"5";"356.0"
"89195895B1";"5";"356.0"
"80930525C8";"5";"357.0"
"8166024030";"5";"357.0"
"846660604D";"5";"357.0"
"73439291EE";"9";"357.0"
"71049473BE";"5";"358.0"
"83967311A0";"5";"358.0"
"8945617CAB";"8";"358.0"
"7807492238";"5";"359.0"
"6823069EA5";"5";"360.0"
"68232357A4";"5";"360.0"
"70998494BD";"7";"360.0"
"6582665AFE";"5";"361.0"
"81426241E5";"5";"361.0"
"8167146E13";"5";"361.0"
"80731817B6";"5";"362.0"
"702779718D";"6";"362.0"
"66881178BD";"5";"364.0"
"7778441C90";"5";"364.0"
"6739830BA7";"9";"364.0"
"673986588A";"9";"364.0"
"81197093D6";"5";"365.0"
"8293905AEA";"5";"365.0"
"706560300D";"5";"366.0"
"7849340846";"5";"366.0"
"801621992E";"5";"366.0"
"8085737142";"8";"366.0"
"8939565A67";"5";"369.0"
"8965201DE5";"5";"370.0"
"8362866756";"6";"371.0"
"826906477A";"5";"372.0"
"871467487B";"5";"372.0"
"8912756EE9";"5";"372.0"
"8996827083";"5";"373.0"
"8996865FDA";"5";"373.0"
"7332380763";"5";"374.0"
"842056560F";"5";"376.0"
"7247398606";"7";"376.04"
"8177734F91";"5";"377.0"
"8323378CCD";"5";"377.0"
"8841829C1A";"5";"377.0"
"7346738FF9";"5";"378.0"
"7189500316";"6";"378.0"
"7610082654";"7";"378.0"
"7427269844";"5";"378.96"
"697933596F";"5";"379.0"
"8278506743";"11";"379.0"
"675434884A";"5";"381.0"
"9220718933";"5";"381.0"
"7966972945";"6";"381.0"
"760315954A";"9";"381.0"
"7515942F88";"5";"382.0"
"692774298B";"5";"383.0"
"693861563B";"5";"383.0"
"7793526D19";"7";"383.0"
"722593997E";"9";"383.0"
"6661227A68";"5";"385.0"
"8091505927";"7";"385.0"
"7050800838";"5";"386.0"
"7050926035";"5";"386.0"
"70509346CD";"5";"386.0"
"8346422552";"6";"387.0"
"7278622CE0";"5";"388.0"
"75830101D0";"5";"388.0"
"76068478B8";"10";"389.04"
"7867803C6B";"5";"390.0"
"6905407A1E";"5";"391.0"
"8265968C92";"5";"391.0"
"7603112E7E";"8";"391.0"
