"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd"
"650148397D";"CONTRACT-START";"2016-02-29 00:00:00.000";"EMILIA ROMAGNA";"58534.5";"FORNITURE";"ORDINARI";"1";"39";"486.96";"0"
"650148397D";"VARIANT";"2016-09-02 00:00:00.000";"EMILIA ROMAGNA";"58534.5";"FORNITURE";"ORDINARI";"1";"39";"486.96";"186"
"650148397D";"CONTRACT-END";"2017-06-30 00:00:00.000";"EMILIA ROMAGNA";"58534.5";"FORNITURE";"ORDINARI";"1";"39";"486.96";"487"
"6502282CD7";"CREATION";"2016-01-08 00:00:00.000";"SICILIA";"45000.0";"FORNITURE";"ORDINARI";"0";"44";"873.96";"0"
"6502282CD7";"AWARD";"2016-03-31 00:00:00.000";"SICILIA";"45000.0";"FORNITURE";"ORDINARI";"0";"44";"873.96";"83"
"6502282CD7";"CONTRACT-START";"2016-03-31 00:00:00.000";"SICILIA";"45000.0";"FORNITURE";"ORDINARI";"0";"44";"873.96";"83"
"6502282CD7";"VARIANT";"2017-10-06 00:00:00.000";"SICILIA";"45000.0";"FORNITURE";"ORDINARI";"0";"44";"873.96";"637"
"6502282CD7";"CONTRACT-END";"2018-05-31 00:00:00.000";"SICILIA";"45000.0";"FORNITURE";"ORDINARI";"0";"44";"873.96";"874"
"6503070720";"CREATION";"2016-01-07 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"0"
"6503070720";"AWARD";"2016-02-19 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"43"
"6503070720";"CONTRACT-START";"2016-08-24 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"230"
"6503070720";"SUSPENSION";"2016-11-10 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"308"
"6503070720";"VARIANT";"2016-12-28 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"356"
"6503070720";"REPRISE";"2017-02-20 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"410"
"6503070720";"CONTRACT-END";"2017-05-04 00:00:00.000";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"483"
"6526374632";"CREATION";"2016-03-25 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"0"
"6526374632";"AWARD";"2016-12-15 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"265"
"6526374632";"CONTRACT-START";"2017-01-19 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"300"
"6526374632";"SUSPENSION";"2017-02-28 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"340"
"6526374632";"VARIANT";"2017-04-10 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"381"
