"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd"
"650823094A";"VARIANT";"2018-01-23 00:00:00.000";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"732"
"650823094A";"VARIANT";"2018-01-29 00:00:00.000";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"738"
"650823094A";"VARIANT";"2019-05-24 00:00:00.000";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"1218"
"650823094A";"VARIANT";"2019-07-22 00:00:00.000";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"1277"
"650823094A";"VARIANT";"2020-02-24 00:00:00.000";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"1494"
"650823094A";"CONTRACT-END";"2022-02-10 00:00:00.000";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"2211"
"6517617BAF";"CREATION";"2016-04-16 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"0"
"6517617BAF";"PUBLICATION-EU";"2016-04-16 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"0"
"6517617BAF";"AWARD";"2016-09-21 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"158"
"6517617BAF";"CONTRACT-START";"2016-10-15 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"182"
"6517617BAF";"STATUS";"2017-01-31 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"290"
"6517617BAF";"STATUS";"2018-01-31 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"655"
"6517617BAF";"STATUS";"2019-01-31 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"1020"
"6517617BAF";"STATUS";"2019-04-30 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"1109"
"6517617BAF";"CONTRACT-END";"2019-06-30 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"1170"
"6517617BAF";"VARIANT";"2019-11-11 00:00:00.000";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"1304"
"6524113C5A";"CREATION";"2016-01-29 00:00:00.000";"PIEMONTE";"184585.0";"SERVIZI";"ORDINARI";"0";"90";"821.96";"0"
