Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,amount,type
6517617BAF,VARIANT,PA TRENTO,2019-11-11 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6524113C5A,CREATION,PIEMONTE,2016-01-29 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524113C5A,AWARD,PIEMONTE,2016-03-30 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524113C5A,VARIANT,PIEMONTE,2016-08-23 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524113C5A,CONTRACT-START,PIEMONTE,2016-10-21 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524113C5A,VARIANT,PIEMONTE,2017-12-29 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524113C5A,CONTRACT-END,PIEMONTE,2018-04-30 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524989F3F,CREATION,TOSCANA,2016-04-18 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,PUBLICATION-IT,TOSCANA,2016-04-18 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,PUBLICATION-EU,TOSCANA,2016-04-19 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,AWARD,TOSCANA,2016-11-07 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,CONTRACT-START,TOSCANA,2017-02-07 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,SUSPENSION,TOSCANA,2017-06-26 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,SUBCONTRACT,TOSCANA,2017-07-18 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,SUSPENSION,TOSCANA,2017-08-03 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,VARIANT,TOSCANA,2017-10-05 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,CONTRACT-END,TOSCANA,2017-10-23 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6524989F3F,TESTING,TOSCANA,2018-02-15 00:00:00.000,Variant 139,139,387133.2,SERVIZI
6526105835,CREATION,VENETO,2016-01-18 00:00:00.000,Variant 1,1,169600.0,SERVIZI
6526105835,AWARD,VENETO,2016-02-11 00:00:00.000,Variant 1,1,169600.0,SERVIZI
6526105835,CONTRACT-START,VENETO,2016-04-11 00:00:00.000,Variant 1,1,169600.0,SERVIZI
6526105835,VARIANT,VENETO,2018-01-31 00:00:00.000,Variant 1,1,169600.0,SERVIZI
6526105835,CONTRACT-END,VENETO,2018-04-30 00:00:00.000,Variant 1,1,169600.0,SERVIZI
6528667A6F,CREATION,CAMPANIA,2016-04-06 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,AWARD,CAMPANIA,2016-12-30 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,CONTRACT-START,CAMPANIA,2017-03-21 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,STATUS,CAMPANIA,2017-04-30 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,VARIANT,CAMPANIA,2017-05-25 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,VARIANT,CAMPANIA,2017-06-15 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,CONTRACT-END,CAMPANIA,2017-06-30 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6528667A6F,STATUS,CAMPANIA,2017-06-30 00:00:00.000,Variant 57,57,1418523.21,SERVIZI
6531197244,CREATION,CENTRALE,2016-02-11 00:00:00.000,Variant 7,7,200000.0,SERVIZI
6531197244,AWARD,CENTRALE,2016-03-15 00:00:00.000,Variant 7,7,200000.0,SERVIZI
6531197244,VARIANT,CENTRALE,2016-06-16 00:00:00.000,Variant 7,7,200000.0,SERVIZI
6531197244,CONTRACT-START,CENTRALE,2016-07-13 00:00:00.000,Variant 7,7,200000.0,SERVIZI
6531197244,CONTRACT-END,CENTRALE,2017-07-31 00:00:00.000,Variant 7,7,200000.0,SERVIZI
6533365F57,CREATION,CENTRALE,2016-01-09 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,AWARD,CENTRALE,2016-05-11 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,CONTRACT-START,CENTRALE,2016-06-20 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-06-27 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-08-01 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-08-31 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-09-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-10-31 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-11-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2016-12-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2017-06-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2017-10-31 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2017-12-31 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2018-04-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2018-09-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2018-12-31 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2019-04-17 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2019-06-06 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
