file_name;prefix_length;prefix_encoding;model;features_num;features_excluded;LLM_data;CV;min_duration_dd;max_duration_dd;RMSE_ht;RMSE_ht_norm;MAE_ht;MSE_ht;MAPE_ht;RMSE;RMSE_norm;MAE;MSE;MAPE;timing_sec;timing_hr;memory
log_2016-2022_clean_5_eventi_FORNITURE_P_11_F.csv;11;F;RFR;75;1;0;5;27.0;1917.04;75.6185796496519;0.04000898375148246;43.592246845771164;5718.16958823075;11.79;76.35188646460034;0.040396968563945916;13.56753883724239;5829.610566703222;1.75;11;0:00:11;13552
log_2016-2022_clean_5_eventi_LAVORI_P_11_F.csv;11;F;RFR;73;1;0;5;18.0;2211.0;84.22798084429007;0.03840765200378024;30.389085379394444;7094.352757106096;5.9;73.99452491631062;0.03374123343197019;21.002095587591224;5475.189717590513;3.15;130;0:02:10;188536
log_2016-2022_clean_5_eventi_LAVORI_P_11_B.csv;11;B;RFR;73;1;0;5;36.04;3918.0;93.22736101637824;0.0240155388042067;30.721668616584804;8691.34084207812;5.82;81.81973546828459;0.021076913587024234;23.50500294389377;6694.469112100067;3.64;130;0:02:10;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_11_B.csv;11;B;RFR;75;1;0;5;30.0;2380.04;97.50282717165827;0.04148985854353895;44.53564841791046;9506.801306466263;13.11;65.26522080399661;0.02777196167043821;11.099308184790335;4259.549046594432;1.27;16;0:00:16;13552
log_2016-2022_clean_5_eventi_LAVORI_P_9_B.csv;9;B;RFR;73;1;0;5;19.0;2211.0;102.26270093092155;0.04665269203052991;43.03128018968879;10457.660001687103;8.38;100.66458580122398;0.045923624909317506;37.82913322041001;10133.358834531984;6.47;114;0:01:54;188536
log_2016-2022_clean_5_eventi_SERVIZI_P_11_F.csv;11;F;RFR;80;1;0;5;19.0;2120.0;105.01690043845753;0.04998424580602452;59.20258687459107;11028.5493777009;14.4;80.41527243273974;0.038274760796163605;19.38721475826971;6466.6160404317525;2.96;25;0:00:25;26360
log_2016-2022_clean_5_eventi_LAVORI_P_11_I.csv;11;I;RFR;159;1;0;5;21.0;2259.0;107.63636998856121;0.04809489275628294;48.0454384052049;11585.588144314443;11.58;78.78528109170901;0.03520343212319437;22.791373336308848;6207.120516699601;3.44;137;0:02:17;188536
log_2016-2022_clean_5_eventi_LAVORI_P_9_F.csv;9;F;RFR;73;1;0;5;20.0;2259.0;108.37126223014091;0.048401635654372895;46.224812456197206;11744.330477353968;9.23;102.03478271139402;0.04557158674023851;37.99619780180535;10411.096882961392;6.44;113;0:01:53;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_9_F.csv;9;F;RFR;75;1;0;5;36.0;2308.04;110.42944163281786;0.04860365206282365;47.516174766169165;12194.661579335925;13.85;57.99298796838633;0.025524633355216604;14.854197424307028;3363.1866535014015;1.83;15;0:00:15;13552
log_2016-2022_clean_5_eventi_FORNITURE_P_9_B.csv;9;B;RFR;75;1;0;5;37.96;2512.0;117.2474364947698;0.04739108361011536;54.58921891115851;13746.961364595076;17.61;86.4820908387578;0.03495581754488925;20.347770527363195;7479.152035843155;2.47;15;0:00:15;13552
log_2016-2022_clean_5_eventi_FORNITURE_P_7_B.csv;7;B;RFR;75;1;0;5;33.0;2002.0;119.8036094554235;0.060844900688381665;59.63568198341625;14352.904838547638;18.01;99.66139723462412;0.05061523475603053;31.833206584695606;9932.394098757544;4.68;12;0:00:12;13552
log_2016-2022_clean_5_eventi_LAVORI_P_7_F.csv;7;F;RFR;73;1;0;5;18.0;2226.0;123.47599334191003;0.05592209843383606;64.1147821364153;15246.320931771408;14.2;122.83010884921683;0.05562957828315979;60.16026108658597;15087.235639910456;12.03;157;0:02:37;188536
log_2016-2022_clean_5_eventi_LAVORI_P_9_I.csv;9;I;RFR;139;1;0;5;18.0;3918.0;123.89722533342565;0.03176851931626299;56.86874906192035;15350.522445321652;13.28;99.89809761556162;0.02561489682450298;37.27627317300975;9979.62990720828;6.49;115;0:01:55;188536
log_2016-2022_clean_5_eventi_LAVORI_P_7_B.csv;7;B;RFR;73;1;0;5;21.0;3918.0;133.79770929255946;0.03433351534322798;68.35631888872874;17901.827011936253;14.58;131.67010250732923;0.033787555172524825;63.9643345176831;17337.01589429059;12.52;160;0:02:40;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_9_I.csv;9;I;RFR;128;1;0;5;16.04;2380.04;135.97924851853435;0.05752083270665582;69.6518476778015;18490.356027665322;24.63;98.56227763157894;0.04169301084246148;24.92907260886049;9714.522571924446;5.51;20;0:00:20;13552
log_2016-2022_clean_5_eventi_FORNITURE_P_11_I.csv;11;I;RFR;142;1;0;5;30.0;2512.0;136.08493792798325;0.0548287421144171;71.09703211940298;18519.110330863055;24.78;61.3746807196784;0.024727913263367606;12.126543891968751;3766.8514334424635;1.35;11;0:00:11;13552
log_2016-2022_clean_5_eventi_SERVIZI_P_11_B.csv;11;B;RFR;80;1;0;5;19.0;2439.0;137.24735592024925;0.056713783438119524;61.33953891384952;18836.836707099577;12.01;118.80726985582982;0.04909391316356604;27.705902386041398;14115.167370595967;2.82;25;0:00:25;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_7_B.csv;7;B;RFR;80;1;0;5;25.0;2282.0;138.4086879459994;0.06132418606380124;71.25435139335191;19156.964898933034;13.54;138.187640724558;0.06122624755186443;49.46429353616866;19095.824049019524;6.21;23;0:00:23;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_7_I.csv;7;I;RFR;114;1;0;5;16.04;2394.04;139.36690945724675;0.05860677437226525;74.05067382326462;19423.13545166441;25.55;109.9383730302472;0.046231443662845755;35.21404602416487;12086.445864537785;4.94;16;0:00:16;13552
log_2016-2022_clean_5_eventi_LAVORI_P_7_I.csv;7;I;RFR;119;1;0;5;20.0;3918.0;145.7576785427414;0.037392939595367214;76.23132084329552;21245.300854169134;18.2;129.89320775014772;0.03332303944334215;64.30963492120797;16872.245419623036;12.73;160;0:02:40;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_7_F.csv;7;F;RFR;75;1;0;5;27.0;2394.04;147.87506576760254;0.06247256732780288;65.71024979957356;21867.035075772776;19.78;112.35206078153355;0.04746521426825637;30.443348615967825;12622.98556185741;4.36;13;0:00:13;13552
log_2016-2022_clean_5_eventi_SERVIZI_P_9_F.csv;9;F;RFR;80;1;0;5;19.0;2280.04;149.7596866567139;0.0662348683157812;71.11024249024595;22427.963747517133;17.45;118.64417182639892;0.05247327416870065;31.97803493711379;14076.43950837207;4.36;22;0:00:22;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_9_I.csv;9;I;RFR;140;1;0;5;22.0;2271.0;150.66688209065637;0.06699283329953595;88.8088680668848;22700.509358919753;20.1;93.70881915922129;0.04166688268529181;30.360964946564906;8781.34278821564;3.77;21;0:00:21;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_11_I.csv;11;I;RFR;157;1;0;5;25.0;2406.04;152.523115801357;0.06405735132604114;83.35572418175208;23263.300853754157;19.01;80.16099152652464;0.03366637751844767;20.538415531806628;6425.784562515554;2.16;23;0:00:23;26360
log_2016-2022_clean_5_eventi_LAVORI_P_5_F.csv;5;F;RFR;73;1;0;5;19.0;2259.0;167.1551194582694;0.07462282118672742;107.58928646930379;27940.833961108314;30.23;173.6085488771364;0.07750381646300732;106.98068449294954;30139.928243225055;25.16;162;0:02:42;188536
log_2016-2022_clean_5_eventi_LAVORI_P_5_B.csv;5;B;RFR;73;1;0;5;31.0;2259.0;167.29652576230725;0.0750882072541774;109.25064696067147;27988.127532138336;30.49;175.31963117469058;0.0786892419994123;107.97972956232509;30736.97307522954;26.17;171;0:02:51;188536
log_2016-2022_clean_5_eventi_LAVORI_P_5_I.csv;5;I;RFR;99;1;0;5;29.0;2364.96;168.76802761704246;0.07224782428510867;112.36007256603135;28482.647145746803;33.05;172.56066642540165;0.07387141322000447;108.1606361149247;29777.18359717874;25.9;170;0:02:50;188536
log_2016-2022_clean_5_eventi_SERVIZI_P_7_F.csv;7;F;RFR;80;1;0;5;20.96;2406.04;170.76456643352142;0.07159699734747742;83.02286033006179;29160.537149228552;14.95;166.1866272092076;0.0696775903572239;54.76566059469284;27617.995063172133;6.06;21;0:00:21;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_7_I.csv;7;I;RFR;123;1;0;5;25.0;2439.0;180.55091647827308;0.0747932545477519;97.99123591809037;32598.633441144342;21.36;164.72979505120801;0.06823935171963878;56.857103289470516;27135.905377612995;8.26;25;0:00:25;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_5_B.csv;5;B;RFR;75;1;0;5;11.04;2316.04;182.04593400640366;0.07897871323488229;88.94363621100847;33140.72208826388;29.52;155.0288125175498;0.06725761931347063;67.48964859439067;24033.932710601603;18.03;11;0:00:11;13552
log_2016-2022_clean_5_eventi_SERVIZI_P_9_B.csv;9;B;RFR;80;1;0;5;20.96;3925.0;185.8431342192691;0.04760277410561088;73.12884575354421;34537.67053644127;13.89;154.76497771766472;0.039642262302042174;40.374510310432576;23952.198327949256;3.97;24;0:00:24;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_5_I.csv;5;I;RFR;95;1;0;5;59.0;2316.04;195.67422472891192;0.08669506288276323;102.16609349977391;38288.402223260724;22.18;193.1784006704063;0.08558926765604788;86.34522467945983;37317.89448557603;14.74;11;0:00:11;13552
log_2016-2022_clean_5_eventi_FORNITURE_P_5_F.csv;5;F;RFR;75;1;0;5;11.04;2316.04;196.72323326532725;0.08534630510426346;97.31073089392859;38700.030506364354;37.04;223.69275527857351;0.09704674849395814;93.13820471267044;50038.44876411978;33.59;11;0:00:11;13552
log_2016-2022_clean_5_eventi_SERVIZI_P_5_F.csv;5;F;RFR;80;1;0;5;25.04;2271.0;210.44137019220742;0.09369773735605595;116.294021916394;44285.57028837369;23.67;214.00103444095592;0.09528265616527272;103.46988395492552;45796.442741799205;16.76;23;0:00:23;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_5_I.csv;5;I;RFR;103;1;0;5;25.04;2439.0;210.77030840809402;0.08731309069251107;117.47847990581943;44424.122906443066;27.77;209.05693479885485;0.08660331355898808;98.93041722937114;43704.801987492654;16.93;22;0:00:22;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_5_B.csv;5;B;RFR;80;1;0;5;25.0;2450.04;218.1052174002993;0.089938812308374;119.29768041869806;47569.88585723182;22.3;211.5221630219435;0.08722419548623672;100.21490357397309;44741.62544948164;14.98;23;0:00:23;26360
log_2016-2022_clean_5_eventi_LAVORI_P_3_B.csv;3;B;RFR;72;1;0;5;19.0;2259.0;218.69555763897944;0.0976319453745444;162.4768038128122;47827.74693102418;52.63;239.48377352550605;0.1069123988953152;177.15031736784192;57352.47778201587;53.3;87;0:01:27;188536
log_2016-2022_clean_5_eventi_LAVORI_P_3_F.csv;3;F;RFR;72;1;0;5;17.0;3918.0;224.64935569802898;0.057587632837228654;161.90489023032504;50467.333015539545;50.69;245.24239157014935;0.06286654487827463;175.41382969193893;60143.83062304646;51.22;88;0:01:28;188536
log_2016-2022_clean_5_eventi_LAVORI_P_3_I.csv;3;I;RFR;82;1;0;5;20.0;3918.0;227.06503938491957;0.05825167762568486;164.72296711478344;51558.53211087507;52.85;243.3108459854682;0.06241940635850903;176.55730786263842;59200.16777416423;52.83;95;0:01:35;188536
