Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
753066120D,15,"Variant 4,077",4077,08.05.2018 00:00:00,24.01.2049 00:00:00,"30 years, 269 days",969325200000
7835226908,5,Variant 3,3,20.03.2019 00:00:00,17.12.2029 00:00:00,"10 years, 275 days",339120000000
82327822A1,7,Variant 132,132,13.03.2020 00:00:00,04.12.2030 00:00:00,"10 years, 268 days",338515200000
65945055AD,8,Variant 56,56,17.02.2016 00:00:00,03.01.2023 00:00:00,"6 years, 322 days",217036800000
6660071075,5,Variant 1,1,16.04.2016 00:00:00,31.12.2022 00:00:00,"6 years, 260 days",211683600000
6711299323,20,"Variant 1,627",1627,25.08.2016 00:00:00,30.04.2023 00:00:00,"6 years, 249 days",210729600000
67024268E6,18,"Variant 1,611",1611,30.05.2016 00:00:00,31.12.2022 00:00:00,"6 years, 216 days",207882000000
6710883BD5,10,Variant 351,351,14.06.2016 00:00:00,03.01.2023 00:00:00,"6 years, 204 days",206845200000
67375355C4,18,"Variant 1,688",1688,28.06.2016 00:00:00,03.01.2023 00:00:00,"6 years, 190 days",205635600000
8620449B8C,7,Variant 41,41,19.02.2016 00:00:00,11.08.2022 00:00:00,"6 years, 174 days",204332400000
7288005BF9,6,Variant 6,6,28.09.2016 00:00:00,31.01.2023 00:00:00,"6 years, 126 days",200106000000
6734848C60,5,Variant 1,1,06.07.2016 00:00:00,31.10.2022 00:00:00,"6 years, 118 days",199414800000
673563235D,21,"Variant 1,686",1686,01.07.2016 00:00:00,30.09.2022 00:00:00,"6 years, 92 days",197164800000
68194471B1,20,"Variant 1,917",1917,03.10.2016 00:00:00,31.12.2022 00:00:00,"6 years, 90 days",196995600000
6787470D6C,12,"Variant 1,833",1833,31.08.2016 00:00:00,22.11.2022 00:00:00,"6 years, 84 days",196477200000
78879416D4,6,Variant 34,34,13.05.2019 00:00:00,31.07.2025 00:00:00,"6 years, 81 days",196214400000
788794494D,6,Variant 34,34,13.05.2019 00:00:00,31.07.2025 00:00:00,"6 years, 81 days",196214400000
65302157E3,17,"Variant 1,243",1243,10.06.2016 00:00:00,17.08.2022 00:00:00,"6 years, 69 days",195177600000
6785451B4B,79,"Variant 1,827",1827,12.09.2016 00:00:00,20.10.2022 00:00:00,"6 years, 39 days",192585600000
6771347450,16,"Variant 1,773",1773,05.08.2016 00:00:00,09.09.2022 00:00:00,"6 years, 36 days",192326400000
650823094A,11,"Variant 1,221",1221,22.01.2016 00:00:00,10.02.2022 00:00:00,"6 years, 21 days",191030400000
6555630503,13,"Variant 1,279",1279,04.08.2016 00:00:00,24.08.2022 00:00:00,"6 years, 21 days",191030400000
69207027F4,22,"Variant 2,215",2215,31.12.2016 00:00:00,09.01.2023 00:00:00,"6 years, 10 days",190080000000
6705793371,16,"Variant 1,616",1616,21.07.2016 00:00:00,29.07.2022 00:00:00,"6 years, 9 days",189993600000
6542075313,25,"Variant 1,264",1264,15.04.2016 00:00:00,14.04.2022 00:00:00,6 years,189216000000
6648607C0D,25,"Variant 1,503",1503,19.12.2016 00:00:00,30.11.2022 00:00:00,"5 years, 347 days",187660800000
6717536E0F,7,Variant 5,5,07.06.2016 00:00:00,24.04.2022 00:00:00,"5 years, 322 days",185500800000
6717540160,7,Variant 5,5,07.06.2016 00:00:00,24.04.2022 00:00:00,"5 years, 322 days",185500800000
69489273F7,35,"Variant 2,297",2297,16.02.2017 00:00:00,31.12.2022 00:00:00,"5 years, 319 days",185241600000
8038421AD9,12,"Variant 5,686",5686,26.10.2016 00:00:00,30.08.2022 00:00:00,"5 years, 309 days",184377600000
6813659946,8,Variant 379,379,05.10.2016 00:00:00,31.07.2022 00:00:00,"5 years, 300 days",183600000000
6763715A2E,13,"Variant 1,754",1754,10.08.2016 00:00:00,31.05.2022 00:00:00,"5 years, 295 days",183168000000
687296996F,5,Variant 3,3,28.09.2016 00:00:00,12.07.2022 00:00:00,"5 years, 288 days",182563200000
7052181BDA,5,Variant 1,1,21.04.2017 00:00:00,31.01.2023 00:00:00,"5 years, 286 days",182394000000
6604772E43,7,Variant 87,87,23.03.2016 00:00:00,31.12.2021 00:00:00,"5 years, 284 days",182217600000
7034364CCC,5,Variant 1,1,31.03.2017 00:00:00,12.12.2022 00:00:00,"5 years, 257 days",179888400000
7162074A6D,5,Variant 1,1,04.08.2017 00:00:00,29.03.2023 00:00:00,"5 years, 238 days",178243200000
7066643A46,19,"Variant 2,557",2557,17.05.2017 00:00:00,31.12.2022 00:00:00,"5 years, 229 days",177469200000
710447918A,34,"Variant 2,678",2678,12.06.2017 00:00:00,25.01.2023 00:00:00,"5 years, 228 days",177382800000
7121382E52,8,Variant 59,59,29.06.2017 00:00:00,06.02.2023 00:00:00,"5 years, 223 days",176950800000
65380823F2,18,"Variant 1,252",1252,04.01.2016 00:00:00,30.07.2021 00:00:00,"5 years, 208 days",175734000000
69579390E8,13,"Variant 2,315",2315,07.02.2017 00:00:00,31.08.2022 00:00:00,"5 years, 205 days",175474800000
6778941F11,6,Variant 57,57,09.08.2016 00:00:00,28.02.2022 00:00:00,"5 years, 204 days",175309200000
7103014893,18,"Variant 2,671",2671,12.06.2017 00:00:00,31.12.2022 00:00:00,"5 years, 203 days",175222800000
6725350E60,8,Variant 16,16,21.04.2017 00:00:00,07.11.2022 00:00:00,"5 years, 201 days",175050000000
707048197E,15,"Variant 2,567",2567,19.05.2017 00:00:00,23.11.2022 00:00:00,"5 years, 189 days",174013200000
666054037C,19,"Variant 1,534",1534,16.04.2016 00:00:00,15.10.2021 00:00:00,"5 years, 183 days",173491200000
6958713F9D,21,"Variant 2,316",2316,17.02.2017 00:00:00,15.08.2022 00:00:00,"5 years, 179 days",173228400000
66285937FB,16,"Variant 1,439",1439,07.04.2016 00:00:00,30.09.2021 00:00:00,"5 years, 177 days",172972800000
6788747B3D,16,"Variant 1,839",1839,27.09.2016 00:00:00,18.03.2022 00:00:00,"5 years, 173 days",172630800000
69700581D2,17,"Variant 2,335",2335,09.02.2017 00:00:00,31.07.2022 00:00:00,"5 years, 172 days",172623600000
6997271AB0,7,Variant 5,5,07.03.2017 00:00:00,20.08.2022 00:00:00,"5 years, 166 days",172105200000
6800442E41,7,Variant 24,24,29.09.2016 00:00:00,03.03.2022 00:00:00,"5 years, 156 days",171162000000
682200509F,6,Variant 6,6,26.09.2016 00:00:00,24.02.2022 00:00:00,"5 years, 152 days",170816400000
70730029E3,7,Variant 960,960,17.05.2017 00:00:00,13.10.2022 00:00:00,"5 years, 150 days",170640000000
68474327A3,16,"Variant 2,000",2000,08.11.2016 00:00:00,31.03.2022 00:00:00,"5 years, 143 days",170118000000
7163421204,26,"Variant 2,849",2849,27.07.2017 00:00:00,15.12.2022 00:00:00,"5 years, 142 days",169952400000
703710311B,7,Variant 87,87,14.04.2017 00:00:00,31.08.2022 00:00:00,"5 years, 140 days",169776000000
704614137F,11,"Variant 2,494",2494,06.05.2017 00:00:00,22.09.2022 00:00:00,"5 years, 140 days",169776000000
7085929597,5,Variant 1,1,19.05.2017 00:00:00,30.09.2022 00:00:00,"5 years, 135 days",169344000000
71511324CF,31,"Variant 2,803",2803,01.09.2017 00:00:00,09.01.2023 00:00:00,"5 years, 131 days",169002000000
7381206BDF,5,Variant 1,1,09.10.2017 00:00:00,15.02.2023 00:00:00,"5 years, 130 days",168915600000
6811291724,21,"Variant 1,894",1894,28.09.2016 00:00:00,28.01.2022 00:00:00,"5 years, 123 days",168310800000
6775168580,5,Variant 1,1,04.08.2016 00:00:00,30.11.2021 00:00:00,"5 years, 119 days",167965200000
7054154807,19,"Variant 2,525",2525,18.05.2017 00:00:00,12.09.2022 00:00:00,"5 years, 118 days",167875200000
6889821C24,25,"Variant 2,111",2111,02.02.2017 00:00:00,25.05.2022 00:00:00,"5 years, 112 days",167439600000
6621915121,41,"Variant 1,415",1415,31.10.2016 00:00:00,16.02.2022 00:00:00,"5 years, 109 days",167097600000
722401990F,8,Variant 56,56,04.10.2017 00:00:00,03.01.2023 00:00:00,"5 years, 92 days",165632400000
7139439371,5,Variant 1,1,11.07.2017 00:00:00,30.09.2022 00:00:00,"5 years, 82 days",164764800000
7098601ED8,34,"Variant 2,655",2655,19.06.2017 00:00:00,07.09.2022 00:00:00,"5 years, 81 days",164678400000
716273296D,16,"Variant 2,845",2845,01.08.2017 00:00:00,18.10.2022 00:00:00,"5 years, 79 days",164505600000
72461185BC,20,"Variant 3,134",3134,19.10.2017 00:00:00,01.01.2023 00:00:00,"5 years, 75 days",164163600000
7246145C02,19,Variant 984,984,19.10.2017 00:00:00,01.01.2023 00:00:00,"5 years, 75 days",164163600000
7246416BA5,19,Variant 984,984,19.10.2017 00:00:00,01.01.2023 00:00:00,"5 years, 75 days",164163600000
6616771C27,17,"Variant 1,397",1397,23.06.2017 00:00:00,31.08.2022 00:00:00,"5 years, 70 days",163728000000
6905634573,8,Variant 134,134,14.12.2016 00:00:00,18.02.2022 00:00:00,"5 years, 67 days",163468800000
6693133414,22,"Variant 1,592",1592,13.06.2016 00:00:00,13.08.2021 00:00:00,"5 years, 62 days",163036800000
6606787D18,5,Variant 1,1,26.02.2016 00:00:00,27.04.2021 00:00:00,"5 years, 61 days",163033200000
661679719F,11,"Variant 1,398",1398,10.03.2016 00:00:00,06.05.2021 00:00:00,"5 years, 57 days",162687600000
70568519A9,11,Variant 993,993,05.05.2017 00:00:00,30.06.2022 00:00:00,"5 years, 57 days",162604800000
7056944669,13,"Variant 1,015",1015,05.05.2017 00:00:00,30.06.2022 00:00:00,"5 years, 57 days",162604800000
83229446A9,10,Variant 125,125,18.04.2016 00:00:00,04.06.2021 00:00:00,"5 years, 48 days",161827200000
7110021EED,24,"Variant 2,703",2703,23.06.2017 00:00:00,04.08.2022 00:00:00,"5 years, 43 days",161395200000
653414208F,22,"Variant 1,248",1248,21.03.2016 00:00:00,30.04.2021 00:00:00,"5 years, 40 days",161218800000
7175026AC1,26,"Variant 2,892",2892,10.08.2017 00:00:00,16.09.2022 00:00:00,"5 years, 38 days",160963200000
719539107F,8,Variant 56,56,05.09.2017 00:00:00,10.10.2022 00:00:00,"5 years, 36 days",160790400000
67816266CF,14,"Variant 1,814",1814,03.03.2016 00:00:00,07.04.2021 00:00:00,"5 years, 35 days",160786800000
7387004C88,17,"Variant 3,664",3664,29.12.2017 00:00:00,27.01.2023 00:00:00,"5 years, 30 days",160272000000
6717224C97,15,"Variant 1,648",1648,07.06.2016 00:00:00,30.06.2021 00:00:00,"5 years, 24 days",159753600000
7899621D76,12,"Variant 5,259",5259,25.06.2016 00:00:00,12.07.2021 00:00:00,"5 years, 18 days",159235200000
69958695BA,19,"Variant 2,378",2378,05.05.2017 00:00:00,13.05.2022 00:00:00,"5 years, 9 days",158457600000
71677473F1,17,"Variant 2,865",2865,23.08.2017 00:00:00,31.08.2022 00:00:00,"5 years, 9 days",158457600000
7729815D1E,7,Variant 24,24,22.12.2016 00:00:00,30.12.2021 00:00:00,"5 years, 9 days",158457600000
69780114D7,11,Variant 225,225,22.02.2017 00:00:00,01.03.2022 00:00:00,"5 years, 8 days",158371200000
665552267F,5,Variant 26,26,12.02.2016 00:00:00,12.02.2021 00:00:00,"5 years, 2 days",157852800000
6644073E79,15,"Variant 1,487",1487,13.04.2016 00:00:00,13.04.2021 00:00:00,"5 years, 1 day",157766400000
6655545979,5,Variant 1,1,12.02.2016 00:00:00,11.02.2021 00:00:00,"5 years, 1 day",157766400000
71475443E6,20,Variant 619,619,20.07.2017 00:00:00,20.07.2022 00:00:00,"5 years, 1 day",157766400000
6826688925,5,Variant 1,1,07.10.2016 00:00:00,30.09.2021 00:00:00,"4 years, 359 days",157161600000
6625536D42,5,Variant 1,1,23.02.2016 00:00:00,11.02.2021 00:00:00,"4 years, 355 days",156816000000
8188684BCC,26,"Variant 5,990",5990,21.09.2017 00:00:00,07.09.2022 00:00:00,"4 years, 352 days",156556800000
737635263B,13,"Variant 3,638",3638,15.02.2018 00:00:00,31.01.2023 00:00:00,"4 years, 351 days",156470400000
6663497BAB,43,"Variant 1,545",1545,18.04.2016 00:00:00,02.04.2021 00:00:00,"4 years, 350 days",156384000000
7681175222,17,"Variant 4,605",4605,06.06.2016 00:00:00,19.05.2021 00:00:00,"4 years, 348 days",156211200000
6856022854,18,"Variant 2,027",2027,08.11.2016 00:00:00,20.10.2021 00:00:00,"4 years, 346 days",156121200000
62552435D1,8,Variant 280,280,11.03.2016 00:00:00,16.02.2021 00:00:00,"4 years, 343 days",155779200000
7245991CEC,23,"Variant 3,132",3132,25.10.2017 00:00:00,30.09.2022 00:00:00,"4 years, 341 days",155606400000
665058083A,17,Variant 677,677,20.04.2016 00:00:00,25.03.2021 00:00:00,"4 years, 340 days",155523600000
6650589FA5,17,Variant 677,677,20.04.2016 00:00:00,25.03.2021 00:00:00,"4 years, 340 days",155523600000
6650592223,17,Variant 677,677,20.04.2016 00:00:00,25.03.2021 00:00:00,"4 years, 340 days",155523600000
66476820BB,15,Variant 780,780,11.04.2016 00:00:00,15.03.2021 00:00:00,"4 years, 339 days",155437200000
6778294927,13,"Variant 1,797",1797,11.08.2016 00:00:00,15.07.2021 00:00:00,"4 years, 339 days",155433600000
705000582A,33,"Variant 2,505",2505,08.07.2017 00:00:00,30.05.2022 00:00:00,"4 years, 327 days",154396800000
7977323730,9,"Variant 1,121",1121,01.03.2016 00:00:00,21.01.2021 00:00:00,"4 years, 327 days",154396800000
6822430F53,10,Variant 293,293,19.04.2017 00:00:00,10.03.2022 00:00:00,"4 years, 326 days",154314000000
7290905523,25,"Variant 3,286",3286,05.12.2017 00:00:00,26.10.2022 00:00:00,"4 years, 325 days",154306800000
6635968E04,16,"Variant 1,463",1463,25.03.2016 00:00:00,10.02.2021 00:00:00,"4 years, 323 days",154051200000
7250102D6D,24,"Variant 3,148",3148,04.11.2017 00:00:00,21.09.2022 00:00:00,"4 years, 321 days",153961200000
66020854E4,10,Variant 995,995,25.03.2016 00:00:00,04.02.2021 00:00:00,"4 years, 317 days",153532800000
7314743CDE,49,"Variant 3,407",3407,21.12.2017 00:00:00,02.11.2022 00:00:00,"4 years, 317 days",153532800000
7548050FE4,10,Variant 568,568,10.10.2017 00:00:00,22.08.2022 00:00:00,"4 years, 317 days",153532800000
7548117731,10,Variant 568,568,10.10.2017 00:00:00,22.08.2022 00:00:00,"4 years, 317 days",153532800000
7548138885,10,Variant 568,568,10.10.2017 00:00:00,22.08.2022 00:00:00,"4 years, 317 days",153532800000
6653332740,24,"Variant 1,518",1518,15.04.2016 00:00:00,24.02.2021 00:00:00,"4 years, 316 days",153450000000
671839856A,6,Variant 15,15,19.05.2016 00:00:00,30.03.2021 00:00:00,"4 years, 316 days",153446400000
7246041631,24,"Variant 3,133",3133,25.10.2017 00:00:00,31.08.2022 00:00:00,"4 years, 311 days",153014400000
6507983D74,6,Variant 6,6,24.06.2016 00:00:00,28.04.2021 00:00:00,"4 years, 309 days",152841600000
6602871D82,16,"Variant 1,362",1362,25.02.2016 00:00:00,28.12.2020 00:00:00,"4 years, 308 days",152755200000
6664771703,11,"Variant 1,550",1550,19.04.2016 00:00:00,19.02.2021 00:00:00,"4 years, 307 days",152672400000
6603610F59,33,"Variant 1,366",1366,29.02.2016 00:00:00,31.12.2020 00:00:00,"4 years, 307 days",152668800000
7889276482,10,Variant 203,203,25.07.2016 00:00:00,27.05.2021 00:00:00,"4 years, 307 days",152668800000
68276860BB,14,"Variant 1,949",1949,01.03.2017 00:00:00,31.12.2021 00:00:00,"4 years, 306 days",152582400000
7347804FAA,17,"Variant 3,572",3572,01.03.2018 00:00:00,31.12.2022 00:00:00,"4 years, 306 days",152582400000
6654502CC2,23,"Variant 1,520",1520,18.04.2016 00:00:00,16.02.2021 00:00:00,"4 years, 305 days",152499600000
7318328B4E,9,Variant 200,200,07.03.2018 00:00:00,31.12.2022 00:00:00,"4 years, 300 days",152064000000
665263473E,12,"Variant 1,517",1517,15.04.2016 00:00:00,03.02.2021 00:00:00,"4 years, 295 days",151635600000
7376267018,7,Variant 24,24,05.02.2018 00:00:00,25.11.2022 00:00:00,"4 years, 294 days",151545600000
7393693C78,68,"Variant 3,683",3683,27.02.2018 00:00:00,15.12.2022 00:00:00,"4 years, 292 days",151372800000
7419023375,12,"Variant 3,754",3754,15.03.2018 00:00:00,31.12.2022 00:00:00,"4 years, 292 days",151372800000
7387446949,13,Variant 955,955,14.02.2018 00:00:00,29.11.2022 00:00:00,"4 years, 289 days",151113600000
6906358AE8,12,"Variant 2,175",2175,20.12.2016 00:00:00,03.10.2021 00:00:00,"4 years, 287 days",151023600000
7058130920,6,Variant 14,14,09.06.2017 00:00:00,18.03.2022 00:00:00,"4 years, 283 days",150598800000
74286213FA,15,"Variant 3,782",3782,29.03.2018 00:00:00,31.12.2022 00:00:00,"4 years, 278 days",150166800000
7006840349,22,"Variant 2,391",2391,20.03.2017 00:00:00,22.12.2021 00:00:00,"4 years, 278 days",150163200000
66036944AE,23,"Variant 1,368",1368,01.03.2016 00:00:00,30.11.2020 00:00:00,"4 years, 275 days",149904000000
672060310B,5,Variant 3,3,17.06.2016 00:00:00,17.03.2021 00:00:00,"4 years, 274 days",149821200000
7020772C53,15,"Variant 2,429",2429,15.09.2016 00:00:00,14.06.2021 00:00:00,"4 years, 273 days",149731200000
7291572B8E,8,Variant 69,69,02.02.2018 00:00:00,31.10.2022 00:00:00,"4 years, 272 days",149644800000
724763057A,12,"Variant 3,140",3140,07.08.2017 00:00:00,04.05.2022 00:00:00,"4 years, 271 days",149558400000
8020565B9C,22,"Variant 5,613",5613,30.10.2017 00:00:00,26.07.2022 00:00:00,"4 years, 269 days",149468400000
718273004F,6,Variant 4,4,08.09.2017 00:00:00,31.05.2022 00:00:00,"4 years, 266 days",149126400000
7388676053,20,"Variant 3,668",3668,22.02.2018 00:00:00,14.11.2022 00:00:00,"4 years, 266 days",149126400000
7504202763,13,"Variant 4,018",4018,28.02.2017 00:00:00,18.11.2021 00:00:00,"4 years, 264 days",148953600000
6892373620,24,"Variant 2,121",2121,24.12.2016 00:00:00,13.09.2021 00:00:00,"4 years, 263 days",148950000000
7385723B6B,13,"Variant 1,015",1015,10.11.2017 00:00:00,31.07.2022 00:00:00,"4 years, 263 days",148950000000
6583791C32,6,Variant 6,6,12.02.2016 00:00:00,31.10.2020 00:00:00,"4 years, 263 days",148867200000
6777974117,41,"Variant 1,795",1795,11.08.2016 00:00:00,30.04.2021 00:00:00,"4 years, 263 days",148867200000
682406870E,6,Variant 6,6,12.10.2016 00:00:00,30.06.2021 00:00:00,"4 years, 262 days",148780800000
8049647AD6,7,Variant 961,961,24.03.2016 00:00:00,10.12.2020 00:00:00,"4 years, 262 days",148780800000
6709681BE9,20,"Variant 1,623",1623,02.08.2016 00:00:00,12.04.2021 00:00:00,"4 years, 254 days",148089600000
7208507827,9,Variant 200,200,30.09.2017 00:00:00,07.06.2022 00:00:00,"4 years, 251 days",147830400000
7451281F96,5,Variant 1,1,30.05.2018 00:00:00,31.01.2023 00:00:00,"4 years, 247 days",147488400000
6908364252,37,"Variant 2,178",2178,23.12.2016 00:00:00,26.08.2021 00:00:00,"4 years, 246 days",147481200000
6777856FB2,12,"Variant 1,794",1794,08.08.2016 00:00:00,09.04.2021 00:00:00,"4 years, 245 days",147312000000
8077804EB9,5,Variant 3,3,18.03.2016 00:00:00,16.11.2020 00:00:00,"4 years, 244 days",147225600000
7252795BC3,21,"Variant 3,153",3153,03.11.2017 00:00:00,04.07.2022 00:00:00,"4 years, 243 days",147222000000
67528747E8,10,"Variant 1,720",1720,24.10.2016 00:00:00,22.06.2021 00:00:00,"4 years, 242 days",147052800000
74453121D4,29,"Variant 3,841",3841,02.07.2018 00:00:00,24.02.2023 00:00:00,"4 years, 238 days",146710800000
74787668EF,13,Variant 622,622,09.05.2018 00:00:00,31.12.2022 00:00:00,"4 years, 237 days",146624400000
7562915AE2,31,"Variant 4,190",4190,09.07.2018 00:00:00,28.02.2023 00:00:00,"4 years, 235 days",146451600000
6781752EC7,10,Variant 71,71,21.04.2017 00:00:00,10.12.2021 00:00:00,"4 years, 234 days",146365200000
718538601C,19,"Variant 2,936",2936,15.09.2017 00:00:00,06.05.2022 00:00:00,"4 years, 234 days",146361600000
7384866834,9,Variant 122,122,19.03.2018 00:00:00,06.11.2022 00:00:00,"4 years, 233 days",146275200000
83434798AD,8,Variant 56,56,12.12.2016 00:00:00,31.07.2021 00:00:00,"4 years, 231 days",146185200000
7288959F3C,15,"Variant 3,277",3277,14.12.2017 00:00:00,31.07.2022 00:00:00,"4 years, 229 days",146012400000
7168152229,5,Variant 1,1,01.08.2017 00:00:00,17.03.2022 00:00:00,"4 years, 229 days",145933200000
73928103CE,5,Variant 1,1,05.03.2018 00:00:00,18.10.2022 00:00:00,"4 years, 227 days",145839600000
7319361FC2,26,"Variant 3,430",3430,21.12.2017 00:00:00,04.08.2022 00:00:00,"4 years, 226 days",145753200000
8726163183,5,Variant 3,3,18.04.2016 00:00:00,26.11.2020 00:00:00,"4 years, 223 days",145414800000
66183345FD,13,"Variant 1,402",1402,16.03.2016 00:00:00,20.10.2020 00:00:00,"4 years, 218 days",145062000000
6708088954,7,Variant 5,5,04.07.2016 00:00:00,04.02.2021 00:00:00,"4 years, 216 days",144810000000
6852044595,37,"Variant 2,015",2015,21.12.2016 00:00:00,24.07.2021 00:00:00,"4 years, 215 days",144802800000
74651103A7,25,"Variant 3,912",3912,19.07.2018 00:00:00,17.02.2023 00:00:00,"4 years, 214 days",144637200000
730924756F,26,"Variant 3,370",3370,08.01.2018 00:00:00,08.08.2022 00:00:00,"4 years, 212 days",144543600000
6766021927,51,"Variant 1,760",1760,28.07.2016 00:00:00,22.02.2021 00:00:00,"4 years, 210 days",144291600000
7600664A58,8,Variant 56,56,06.07.2018 00:00:00,31.01.2023 00:00:00,"4 years, 210 days",144291600000
7544186B39,5,Variant 1,1,22.06.2018 00:00:00,16.01.2023 00:00:00,"4 years, 209 days",144205200000
66036353FE,12,"Variant 1,367",1367,09.03.2016 00:00:00,30.09.2020 00:00:00,"4 years, 205 days",143938800000
7475941DAA,6,Variant 6,6,09.03.2018 00:00:00,30.09.2022 00:00:00,"4 years, 205 days",143938800000
7438804740,8,Variant 925,925,04.04.2018 00:00:00,25.10.2022 00:00:00,"4 years, 205 days",143856000000
8142566208,5,Variant 1,1,28.12.2017 00:00:00,20.07.2022 00:00:00,"4 years, 204 days",143852400000
73468024CD,15,"Variant 3,570",3570,22.01.2018 00:00:00,12.08.2022 00:00:00,"4 years, 202 days",143679600000
67210111BC,10,Variant 351,351,13.06.2016 00:00:00,31.12.2020 00:00:00,"4 years, 202 days",143600400000
69006260B9,14,Variant 702,702,15.12.2016 00:00:00,02.07.2021 00:00:00,"4 years, 199 days",143420400000
65999589A1,13,"Variant 1,357",1357,24.02.2016 00:00:00,07.09.2020 00:00:00,"4 years, 196 days",143161200000
66565284AD,8,Variant 251,251,15.04.2016 00:00:00,27.10.2020 00:00:00,"4 years, 196 days",143082000000
6559077192,5,Variant 1,1,05.02.2016 00:00:00,14.08.2020 00:00:00,"4 years, 191 days",142729200000
6540729C4F,13,"Variant 1,261",1261,11.01.2016 00:00:00,15.07.2020 00:00:00,"4 years, 186 days",142297200000
67653374B4,5,Variant 1,1,30.12.2016 00:00:00,02.07.2021 00:00:00,"4 years, 184 days",142124400000
6807171F33,5,Variant 1,1,21.09.2016 00:00:00,22.03.2021 00:00:00,"4 years, 183 days",141958800000
690699261B,7,Variant 2,2,30.12.2016 00:00:00,30.06.2021 00:00:00,"4 years, 182 days",141951600000
735541152C,25,"Variant 3,588",3588,07.02.2018 00:00:00,06.08.2022 00:00:00,"4 years, 180 days",141778800000
74960006E2,8,Variant 286,286,28.05.2018 00:00:00,22.11.2022 00:00:00,"4 years, 179 days",141613200000
75117403F2,6,Variant 15,15,19.06.2018 00:00:00,14.12.2022 00:00:00,"4 years, 179 days",141613200000
73329161B7,24,"Variant 3,512",3512,22.01.2018 00:00:00,18.07.2022 00:00:00,"4 years, 177 days",141519600000
6768118BA6,11,Variant 822,822,07.10.2016 00:00:00,01.04.2021 00:00:00,"4 years, 177 days",141436800000
66417880D9,15,"Variant 1,477",1477,08.04.2016 00:00:00,30.09.2020 00:00:00,"4 years, 176 days",141350400000
7516133D27,19,"Variant 4,045",4045,08.06.2018 00:00:00,29.11.2022 00:00:00,"4 years, 175 days",141267600000
6533365F57,23,"Variant 1,247",1247,09.01.2016 00:00:00,30.06.2020 00:00:00,"4 years, 173 days",141174000000
75219952A4,5,Variant 1,1,13.07.2018 00:00:00,31.12.2022 00:00:00,"4 years, 172 days",141008400000
7704380F7D,7,Variant 5,5,17.02.2016 00:00:00,06.08.2020 00:00:00,"4 years, 171 days",141001200000
68498589A2,5,Variant 1,1,10.11.2016 00:00:00,29.04.2021 00:00:00,"4 years, 170 days",140914800000
7081971359,17,"Variant 2,608",2608,18.05.2017 00:00:00,31.10.2021 00:00:00,"4 years, 167 days",140572800000
7082030409,5,Variant 1,1,18.05.2017 00:00:00,31.10.2021 00:00:00,"4 years, 167 days",140572800000
660053669D,6,Variant 96,96,22.02.2016 00:00:00,05.08.2020 00:00:00,"4 years, 165 days",140482800000
7448407BE4,16,"Variant 3,862",3862,14.04.2018 00:00:00,22.09.2022 00:00:00,"4 years, 162 days",140140800000
7072233F48,5,Variant 1,1,09.08.2017 00:00:00,16.01.2022 00:00:00,"4 years, 161 days",140058000000
7577382D6D,12,Variant 226,226,24.07.2018 00:00:00,31.12.2022 00:00:00,"4 years, 161 days",140058000000
7577393683,12,Variant 226,226,24.07.2018 00:00:00,31.12.2022 00:00:00,"4 years, 161 days",140058000000
7577402DEE,12,Variant 226,226,24.07.2018 00:00:00,31.12.2022 00:00:00,"4 years, 161 days",140058000000
757741155E,12,Variant 226,226,24.07.2018 00:00:00,31.12.2022 00:00:00,"4 years, 161 days",140058000000
6934492BD1,39,"Variant 2,269",2269,04.01.2017 00:00:00,11.06.2021 00:00:00,"4 years, 158 days",139878000000
6736399C4D,6,Variant 6,6,05.07.2016 00:00:00,09.12.2020 00:00:00,"4 years, 158 days",139798800000
68280816B0,7,Variant 2,2,19.10.2016 00:00:00,25.03.2021 00:00:00,"4 years, 158 days",139798800000
6840876575,5,Variant 1,1,04.05.2016 00:00:00,08.10.2020 00:00:00,"4 years, 158 days",139795200000
7368934CB2,5,Variant 1,1,05.02.2018 00:00:00,12.07.2022 00:00:00,"4 years, 157 days",139791600000
6766023ACD,51,"Variant 1,761",1761,28.07.2016 00:00:00,31.12.2020 00:00:00,"4 years, 157 days",139712400000
7057983FCF,5,Variant 1,1,27.04.2017 00:00:00,30.09.2021 00:00:00,"4 years, 157 days",139708800000
6880007960,110,"Variant 2,079",2079,24.11.2016 00:00:00,29.04.2021 00:00:00,"4 years, 156 days",139705200000
661605092B,7,Variant 107,107,23.03.2016 00:00:00,21.08.2020 00:00:00,"4 years, 151 days",139273200000
6987172CBA,15,"Variant 2,361",2361,31.01.2017 00:00:00,30.06.2021 00:00:00,"4 years, 150 days",139186800000
7586062865,5,Variant 1,1,03.08.2018 00:00:00,28.12.2022 00:00:00,"4 years, 148 days",138934800000
751209266C,5,Variant 26,26,06.04.2018 00:00:00,31.08.2022 00:00:00,"4 years, 148 days",138931200000
69556510CA,21,"Variant 2,311",2311,15.03.2016 00:00:00,06.08.2020 00:00:00,"4 years, 144 days",138668400000
70034337BC,7,Variant 24,24,07.03.2017 00:00:00,29.07.2021 00:00:00,"4 years, 144 days",138668400000
7003458C5C,7,Variant 24,24,08.03.2017 00:00:00,29.07.2021 00:00:00,"4 years, 143 days",138582000000
6889255911,20,Variant 619,619,21.12.2016 00:00:00,12.05.2021 00:00:00,"4 years, 142 days",138495600000
