;feature_name;feature_importance_value
72;duration_partial_dd;80.91037701498466
11;tender_amount;79.37962963407807
5;publication_it;7.039916175738098
17;region_centrale;5.8835670247674114
27;region_provincia_autonoma_di_bolzano;4.736673950859347
35;region_veneto;4.12121438423032
2;contract_start;3.2296895410334416
8;subcontract;2.7499100678147186
10;variant;2.6946280889838325
12;framework;2.484111222831712
18;region_emilia_romagna;2.4331564578820672
23;region_marche;2.4152619694442032
22;region_lombardia;2.1530258620300136
32;region_toscana;1.4345876360437622
31;region_sicilia;1.3453274069028678
19;region_friuli_venezia_giulia;1.3349290832546037
29;region_puglia;1.1318961666127039
28;region_provincia_autonoma_di_trento;1.036321889665073
53;cpv_45;0.6739338907691818
4;publication_eu;0.6655778348935096
9;suspension;0.6599275315590316
37;sector_speciali;0.6550600426050607
36;sector_ordinari;0.6025870517085229
20;region_lazio;0.5695941566005472
26;region_piemonte;0.5629567680279319
0;award;0.5485935348636887
55;cpv_50;0.5278451405118831
14;region_basilicata;0.45476292324949563
16;region_campania;0.4442515748300436
30;region_sardegna;0.37560858336957365
34;region_valle_daosta;0.3546916742542204
13;region_abruzzo;0.3522254135679843
33;region_umbria;0.33216095562152287
1;contract_end;0.3215002991035464
15;region_calabria;0.30157298991608245
24;region_molise;0.29247005759277045
25;region_non_classificato;0.2777587751146667
44;cpv_34;0.2038879481221577
7;status;0.188199878246009
52;cpv_44;0.1733091979299564
42;cpv_32;0.15402054105891877
50;cpv_42;0.0804920293105389
71;cpv_98;0.07471753433023091
69;cpv_90;0.062219648487614514
68;cpv_9;0.052084160878872014
66;cpv_79;0.05071115187542642
65;cpv_77;0.048252976232143995
21;region_liguria;0.04057506888747579
61;cpv_71;0.03638826855397457
45;cpv_35;0.03368463687547999
41;cpv_31;0.03332909949852142
6;reprise;0.033240667507700876
49;cpv_41;0.0315708913345043
48;cpv_39;0.02986453840553886
70;cpv_92;0.028685617919180433
59;cpv_65;0.016623693656787415
60;cpv_70;0.012661501644019128
56;cpv_51;0.011062322704357848
63;cpv_75;0.010822971531608707
67;cpv_85;0.009694084626438613
51;cpv_43;0.008001783913867643
46;cpv_37;0.007019603871818693
43;cpv_33;0.004985749577549673
57;cpv_60;0.0035382298041430117
58;cpv_63;0.003106748707872421
62;cpv_72;0.003008717259986695
47;cpv_38;0.0026871158019821087
64;cpv_76;0.002169807983365499
40;cpv_3;0.0017439265943284235
38;cpv_14;0.0008013165061661218
54;cpv_48;0.0007058107592777544
3;creation;0.0
39;cpv_24;0.0
