;feature_name;feature_importance_value
73;duration_partial_dd;145.8832276986092
12;tender_amount;38.782043403936655
1;contract_end;38.75657191449163
11;variant;15.63070650137892
7;status;12.608874794418819
9;suspension;11.36983117554853
6;reprise;5.4476450004499615
8;subcontract;4.23165078383348
18;region_centrale;3.5538352000557283
5;publication_it;3.3106030768989263
36;region_veneto;2.0736309128521486
13;framework;1.7037048915634425
23;region_lombardia;1.6142205247908448
19;region_emilia_romagna;1.420720963913068
28;region_provincia_autonoma_di_bolzano;1.1805541616654482
33;region_toscana;1.176975311109767
24;region_marche;1.057924939187708
0;award;0.9731879846745125
10;testing;0.8688411523430405
32;region_sicilia;0.7981392204378461
30;region_puglia;0.7446310195871582
29;region_provincia_autonoma_di_trento;0.6970465664735904
17;region_campania;0.6356737199894649
20;region_friuli_venezia_giulia;0.5472779663009683
21;region_lazio;0.5149961452656787
54;cpv_45;0.49815897679595594
31;region_sardegna;0.4681573629879006
27;region_piemonte;0.45880495542926475
2;contract_start;0.4394422306110297
16;region_calabria;0.3910949620261717
37;sector_ordinari;0.3398072217797138
15;region_basilicata;0.3003565065275643
35;region_valle_daosta;0.28497981369682046
56;cpv_50;0.2544339363152007
38;sector_speciali;0.2486736823330376
4;publication_eu;0.2454062721675943
26;region_non_classificato;0.24528284464179942
25;region_molise;0.23825220447434642
34;region_umbria;0.2374261471190626
14;region_abruzzo;0.21463076082124455
45;cpv_34;0.13726210359205848
53;cpv_44;0.11878769279698002
43;cpv_32;0.08510899891598528
67;cpv_79;0.06950135185994603
22;region_liguria;0.05389089201566023
66;cpv_77;0.04694104285248479
70;cpv_90;0.034961678381212176
51;cpv_42;0.032861822152437915
49;cpv_39;0.02298743429802032
46;cpv_35;0.020296641361995486
42;cpv_31;0.019218226483835612
71;cpv_92;0.01846556556212907
62;cpv_71;0.017770997668037383
69;cpv_9;0.017173870106734317
47;cpv_37;0.01625515873613842
50;cpv_41;0.01506692654300128
72;cpv_98;0.01401634457899619
52;cpv_43;0.011057027495765833
60;cpv_65;0.010296839278239744
57;cpv_51;0.006975346451757949
48;cpv_38;0.006941700234107996
59;cpv_63;0.006290634607043653
68;cpv_85;0.005687746354983144
63;cpv_72;0.004846042790225805
41;cpv_3;0.002484060530923041
44;cpv_33;0.0021313133694292946
39;cpv_14;0.0018082936368784821
58;cpv_60;0.0014717392102590475
61;cpv_70;0.0014310576191568262
64;cpv_75;0.00123421853560482
40;cpv_24;0.0011887021284582395
65;cpv_76;0.0006370624565003661
55;cpv_48;0.0006042194606310568
3;creation;0.0
