;feature_name;feature_importance_value
73;duration_partial_dd;122.49786551355473
12;tender_amount;61.09538882388339
11;variant;42.771361832073396
1;contract_end;30.807318496351975
9;suspension;11.638722775640492
7;status;9.023036511595881
5;publication_it;5.45093158157046
18;region_centrale;4.159045454174352
36;region_veneto;4.002366209003362
8;subcontract;3.3048501429582315
6;reprise;3.1153660694285805
23;region_lombardia;2.566374824323568
28;region_provincia_autonoma_di_bolzano;2.3005676993814212
13;framework;2.234494010418005
29;region_provincia_autonoma_di_trento;2.001944674750275
19;region_emilia_romagna;1.9110791414115684
33;region_toscana;1.8101734485209715
24;region_marche;1.423609777373583
20;region_friuli_venezia_giulia;1.220068685553882
30;region_puglia;1.145655550612727
27;region_piemonte;0.8627225320465007
21;region_lazio;0.8257266808441073
54;cpv_45;0.785019114811667
32;region_sicilia;0.7564830580687136
17;region_campania;0.6403155030864126
31;region_sardegna;0.5120301955445806
2;contract_start;0.48574089863688935
14;region_abruzzo;0.46810316798546814
15;region_basilicata;0.4475897101467919
37;sector_ordinari;0.4003112015495511
38;sector_speciali;0.3900656808310566
34;region_umbria;0.3614071746049176
35;region_valle_daosta;0.3416091937319043
56;cpv_50;0.3320140669877188
26;region_non_classificato;0.3047547107665607
4;publication_eu;0.28100838557213104
16;region_calabria;0.25274882231067736
25;region_molise;0.20854828639773834
43;cpv_32;0.19937048049373116
45;cpv_34;0.18377410647787162
53;cpv_44;0.12772487578159802
0;award;0.07233519537441324
72;cpv_98;0.06818009704424613
70;cpv_90;0.06053139618325391
67;cpv_79;0.06043229388477393
22;region_liguria;0.05492379526155025
51;cpv_42;0.04743208525303242
66;cpv_77;0.04068749333483031
62;cpv_71;0.03726059094706629
49;cpv_39;0.03667369373378135
42;cpv_31;0.03469409856334211
69;cpv_9;0.0278062283664297
10;testing;0.026326026626192645
47;cpv_37;0.023152750294247407
50;cpv_41;0.017645823509553137
52;cpv_43;0.013788860845982673
71;cpv_92;0.013226228191936498
60;cpv_65;0.013027967780069215
46;cpv_35;0.012545392127690187
57;cpv_51;0.012481050010043843
61;cpv_70;0.010686982893452648
68;cpv_85;0.010384751768367015
63;cpv_72;0.008455159787541754
59;cpv_63;0.006630451547484771
48;cpv_38;0.006360747529436588
64;cpv_75;0.005147465294316033
55;cpv_48;0.004203732235871219
58;cpv_60;0.0033560248432091357
41;cpv_3;0.0018694541407800731
40;cpv_24;0.0011127157657872047
39;cpv_14;0.0010453023712589907
65;cpv_76;0.0007247651555604216
3;creation;0.0
44;cpv_33;0.0
