;feature_name;feature_importance_value
139;duration_partial_dd;122.6572371090186
78;tender_amount;34.1383006472187
68;event_8_;21.088600028468523
58;event_7_;20.942149348709
48;event_6_;9.413315257818159
73;event_8_status;6.140345155099533
38;event_5_;6.076740784072667
70;event_8_contract_end;5.772555322133405
84;region_centrale;4.868149647103372
75;event_8_suspension;4.721577084369073
63;event_7_status;4.685157592479829
43;event_5_status;4.04747593054004
53;event_6_status;3.9792876658110075
30;event_4_contract_end;3.9428734599241877
65;event_7_suspension;3.80439487855488
60;event_7_contract_end;3.7451293315838146
50;event_6_contract_end;2.9543596383148434
13;event_2_contract_start;2.6918690025670946
55;event_6_suspension;2.681837312681028
45;event_5_suspension;2.440450262576966
27;event_3_suspension;2.1902663536968396
64;event_7_subcontract;2.0240837670416307
89;region_lombardia;1.9866289737901044
25;event_3_status;1.9841502829987934
33;event_4_status;1.979281045701306
72;event_8_reprise;1.9170711081586196
74;event_8_subcontract;1.858553645354337
28;event_3_variant;1.8466064949803538
102;region_veneto;1.8251072423483896
11;event_2_award;1.681067861449592
57;event_6_variant;1.6223242870193524
5;event_1_publication_it;1.5769326820957104
26;event_3_subcontract;1.5283054677563843
18;event_2_subcontract;1.3726499852978615
47;event_5_variant;1.3544388033640613
85;region_emilia_romagna;1.2980068183874034
52;event_6_reprise;1.2496198343237839
79;framework;1.247315764246733
62;event_7_reprise;1.1902960742011766
99;region_toscana;1.1586703469157908
37;event_4_variant;1.1443936040024698
96;region_puglia;1.0827595733529887
34;event_4_subcontract;1.0629684334860448
54;event_6_subcontract;1.0577022192273138
35;event_4_suspension;1.017375880677092
1;event_1_award;0.9825991798053029
98;region_sicilia;0.9706004942654497
77;event_8_variant;0.9234772947942572
32;event_4_reprise;0.9158989118435181
67;event_7_variant;0.91387261860595
90;region_marche;0.8962984514695139
42;event_5_reprise;0.8357574559449316
87;region_lazio;0.7817575747052096
23;event_3_contract_start;0.7119968626305936
19;event_2_suspension;0.6967755842191465
44;event_5_subcontract;0.690962924444235
94;region_provincia_autonoma_di_bolzano;0.6878696397675714
40;event_5_contract_end;0.678274865664234
97;region_sardegna;0.6074592562242472
31;event_4_contract_start;0.55793551835415
22;event_3_contract_end;0.5498787980541204
95;region_provincia_autonoma_di_trento;0.5306775287923556
83;region_campania;0.5301812750773776
82;region_calabria;0.5284202941010532
120;cpv_45;0.4837971975488049
86;region_friuli_venezia_giulia;0.45346771939337926
93;region_piemonte;0.42548167142698246
20;event_2_variant;0.31782980197311833
122;cpv_50;0.2938957620242957
103;sector_ordinari;0.27328936823210415
104;sector_speciali;0.26185212838104927
81;region_basilicata;0.24159450023257967
21;event_3_award;0.24107252364325138
101;region_valle_daosta;0.2304577847400592
100;region_umbria;0.22304839416183522
80;region_abruzzo;0.21615569427780418
24;event_3_reprise;0.21576126676020008
56;event_6_testing;0.19883955321619848
46;event_5_testing;0.191204261515228
91;region_molise;0.18843495397200757
92;region_non_classificato;0.17512685914569834
41;event_5_contract_start;0.1635537604927001
4;event_1_publication_eu;0.15172475430019616
66;event_7_testing;0.14636936402204415
119;cpv_44;0.12432543859623875
111;cpv_34;0.11242455425185524
3;event_1_contract_start;0.10619383873833324
39;event_5_award;0.09995110692263218
29;event_4_award;0.09092374485685031
51;event_6_contract_start;0.08930658352519294
109;cpv_32;0.088276629797526
17;event_2_status;0.08116643531408296
9;event_1_suspension;0.07296506410053569
132;cpv_77;0.06761021875661327
76;event_8_testing;0.06647864983763505
117;cpv_42;0.05977654332682646
15;event_2_publication_it;0.04787610646245779
136;cpv_90;0.04491158258629656
8;event_1_subcontract;0.044883124317382554
59;event_7_award;0.04336581454140531
133;cpv_79;0.043333209648402274
49;event_6_award;0.039463572370918985
88;region_liguria;0.03820922053172481
16;event_2_reprise;0.03361428320794301
61;event_7_contract_start;0.0332710973763657
12;event_2_contract_end;0.03218051670251968
36;event_4_testing;0.030383177115902247
128;cpv_71;0.02416359366966962
71;event_8_contract_start;0.022127116974567068
137;cpv_92;0.020655076799835345
135;cpv_9;0.0205524375604927
10;event_1_variant;0.01717889299435376
116;cpv_41;0.01642465402292518
115;cpv_39;0.01639746583504568
108;cpv_31;0.01600183291742126
112;cpv_35;0.0150418923337338
113;cpv_37;0.013903860890316417
138;cpv_98;0.011772399576341705
126;cpv_65;0.010144375711160015
123;cpv_51;0.009989152664976388
2;event_1_contract_end;0.009645246347213263
7;event_1_status;0.008649565597861616
134;cpv_85;0.008597941952560698
14;event_2_publication_eu;0.008020098812161942
69;event_8_award;0.007384926862612023
118;cpv_43;0.006575724581299286
129;cpv_72;0.0056953952302838205
125;cpv_63;0.004042111451997012
130;cpv_75;0.0027808435720258545
110;cpv_33;0.0020359237510564933
124;cpv_60;0.0016747022833367708
6;event_1_reprise;0.0005335082039353527
106;cpv_24;0.00046106692252359955
131;cpv_76;0.0004391490465813682
107;cpv_3;0.0
127;cpv_70;0.0
121;cpv_48;0.0
105;cpv_14;0.0
114;cpv_38;0.0
0;event_0_creation;0.0
