;feature_name;feature_importance_value
1;tender_amount;103.65492529956956
25;region_veneto;7.984926076095042
7;region_centrale;7.494103464997882
8;region_emilia_romagna;5.557529261462066
12;region_lombardia;4.246487432115419
2;framework;3.947968855340452
13;region_marche;3.6502015496021536
9;region_friuli_venezia_giulia;2.7366078440534176
19;region_puglia;2.3885495706121223
22;region_toscana;2.3033685015385563
17;region_provincia_autonoma_di_bolzano;1.9552157110725603
10;region_lazio;1.5984861326391266
21;region_sicilia;1.3667392694182123
6;region_campania;1.1185280519545528
23;region_umbria;0.9754671421678158
16;region_piemonte;0.8802912514617368
18;region_provincia_autonoma_di_trento;0.8348268782498957
5;region_calabria;0.8129673498079103
43;cpv_45;0.7973366805945354
27;sector_speciali;0.6953681004969772
20;region_sardegna;0.6930627811788458
24;region_valle_daosta;0.6914053972421198
4;region_basilicata;0.6808242833097098
26;sector_ordinari;0.6620662763039517
15;region_non_classificato;0.5856427418410382
45;cpv_50;0.562217020677902
14;region_molise;0.5429041722460121
3;region_abruzzo;0.5083677623977993
34;cpv_34;0.41827663219391087
42;cpv_44;0.2062252463999326
32;cpv_32;0.14178450652817923
56;cpv_79;0.10825349391341665
59;cpv_90;0.0989743433318556
61;cpv_98;0.09127780115704054
40;cpv_42;0.08944244482012526
55;cpv_77;0.08083443157525247
58;cpv_9;0.07432857904524898
11;region_liguria;0.0648902507314267
38;cpv_39;0.05874519753924172
31;cpv_31;0.04623125336326984
51;cpv_71;0.042935548922465726
35;cpv_35;0.037217508299156925
39;cpv_41;0.030391741991374115
60;cpv_92;0.02824220628139184
36;cpv_37;0.020150692500055932
57;cpv_85;0.019410495911128426
49;cpv_65;0.017994289066630417
53;cpv_75;0.017429195430808207
33;cpv_33;0.014154902126336329
41;cpv_43;0.012632590517503484
37;cpv_38;0.010196902658077987
46;cpv_51;0.009752082228689141
48;cpv_63;0.008485097626318222
52;cpv_72;0.006671304729924223
47;cpv_60;0.0042773192909222124
44;cpv_48;0.0017233944536809156
29;cpv_24;0.0016668873027867255
28;cpv_14;0.0008543132138257749
30;cpv_3;0.0006991881586104646
0;creation;0.0
54;cpv_76;0.0
50;cpv_70;0.0
62;duration_partial_dd;0.0
