;feature_name;feature_importance_value
80;duration_partial_dd;266.8010593765903
12;tender_amount;31.96020414537017
7;status;29.83290152824467
1;contract_end;28.3155091550361
11;variant;26.751745124818317
13;framework;9.227432712670527
4;publication_eu;7.602492629343262
68;cpv_71;7.151874077430712
5;publication_it;7.0882415551489055
77;cpv_90;6.222311110019863
72;cpv_77;5.745084004565831
66;cpv_66;5.136540557854979
19;region_emilia_romagna;4.1037387030291015
18;region_centrale;3.9813417923197965
28;region_provincia_autonoma_di_bolzano;3.7961060870348367
73;cpv_79;2.9725514520589966
74;cpv_80;2.847349876878108
21;region_lazio;2.6260015796469722
59;cpv_50;2.5992972868656543
38;sector_speciali;2.149287475211154
23;region_lombardia;2.1002911803854745
36;region_veneto;1.863758177335687
69;cpv_72;1.813668396673295
35;region_valle_daosta;1.8093534102487876
31;region_sardegna;1.7918113769337585
43;cpv_22;1.6459615123470113
75;cpv_85;1.6405313508131418
29;region_provincia_autonoma_di_trento;1.5808340398765748
37;sector_ordinari;1.4304825038462285
8;subcontract;1.428397674627747
33;region_toscana;1.3522152211092477
57;cpv_45;1.2533225519538282
9;suspension;1.1133940825675182
6;reprise;0.877842014961548
20;region_friuli_venezia_giulia;0.8622930682719782
24;region_marche;0.8507255290982344
79;cpv_98;0.8456311055970848
17;region_campania;0.8045286979286055
34;region_umbria;0.7897531617382617
45;cpv_30;0.7874127006164474
32;region_sicilia;0.7599044904614953
61;cpv_55;0.7572920260345426
62;cpv_60;0.6785020052900625
27;region_piemonte;0.6528629282623163
2;contract_start;0.625661960096913
78;cpv_92;0.5952772070718536
60;cpv_51;0.5706258317771853
56;cpv_44;0.5624907885092318
30;region_puglia;0.4971865552812144
25;region_molise;0.49601459189089514
0;award;0.48054455728549533
47;cpv_32;0.47331476485210344
64;cpv_64;0.4570564347643801
15;region_basilicata;0.4117670202448345
16;region_calabria;0.3819592626536585
63;cpv_63;0.37822654211518064
53;cpv_39;0.35678631933638216
10;testing;0.3112124587088399
49;cpv_34;0.25417357009739555
26;region_non_classificato;0.23854645068126726
58;cpv_48;0.22671406155866367
14;region_abruzzo;0.208552599534003
71;cpv_75;0.19477003784725472
54;cpv_42;0.19073110699544438
48;cpv_33;0.18077563346175518
70;cpv_73;0.1770182843273823
65;cpv_65;0.15375637584181787
44;cpv_24;0.10553575305204624
42;cpv_18;0.09840780165777804
46;cpv_31;0.07430711615058005
41;cpv_16;0.05563916692173505
40;cpv_15;0.04547793379987963
55;cpv_43;0.039346955134829366
76;cpv_9;0.035770337676240625
67;cpv_70;0.026814025282173717
52;cpv_38;0.017560612949737334
39;cpv_0;0.010327458933542165
51;cpv_37;0.0100733023666056
22;region_liguria;0.0
50;cpv_35;0.0
3;creation;0.0
