;feature_name;feature_importance_value
80;duration_partial_dd;280.5619402960223
12;tender_amount;39.882425601527494
1;contract_end;35.96023661694631
7;status;20.32138785081708
68;cpv_71;8.741874408453361
13;framework;8.53360964024219
77;cpv_90;7.467743993570325
11;variant;5.885112361474361
5;publication_it;5.852081641009139
66;cpv_66;4.920487291493497
4;publication_eu;4.786629319850832
18;region_centrale;4.491684228335566
72;cpv_77;3.925639406734538
28;region_provincia_autonoma_di_bolzano;3.8892825865969125
19;region_emilia_romagna;3.1632488278105275
74;cpv_80;2.9835606083994213
73;cpv_79;2.7847969390008633
69;cpv_72;2.648373483844426
59;cpv_50;2.5142075239127317
33;region_toscana;1.9712364934761908
23;region_lombardia;1.9135017896451068
75;cpv_85;1.6221500544175216
8;subcontract;1.5726155231477883
29;region_provincia_autonoma_di_trento;1.5395545080957376
21;region_lazio;1.5283044973357063
34;region_umbria;1.352589417212999
36;region_veneto;1.288457321054221
24;region_marche;1.1771328546617768
43;cpv_22;1.1426596372249116
35;region_valle_daosta;1.0959366070153764
61;cpv_55;1.0829636050930505
79;cpv_98;0.9810572391270852
31;region_sardegna;0.9501254721506344
9;suspension;0.9006117712846399
57;cpv_45;0.8721241412230102
37;sector_ordinari;0.8381242277813529
17;region_campania;0.772685043741083
32;region_sicilia;0.7610108397868626
38;sector_speciali;0.7589695631601956
6;reprise;0.7470057236939549
62;cpv_60;0.7066261866329415
20;region_friuli_venezia_giulia;0.682437677801337
30;region_puglia;0.6760780290956487
64;cpv_64;0.6297928313259964
78;cpv_92;0.5691237779672162
45;cpv_30;0.5257239178955954
27;region_piemonte;0.5136392209991172
60;cpv_51;0.42136937443216227
16;region_calabria;0.4163310375466922
63;cpv_63;0.37940243269407864
49;cpv_34;0.3740638542795555
47;cpv_32;0.33519038713196897
56;cpv_44;0.32289723987414315
15;region_basilicata;0.2801874219029383
53;cpv_39;0.2649273486202005
26;region_non_classificato;0.26439237689740963
2;contract_start;0.25716212215569073
10;testing;0.24697055460808823
14;region_abruzzo;0.2457137504182334
54;cpv_42;0.22365054425858313
48;cpv_33;0.20991839268420223
58;cpv_48;0.204452534817172
65;cpv_65;0.17012854632500124
71;cpv_75;0.14235087388930848
70;cpv_73;0.12856015185007763
46;cpv_31;0.09529176016516754
44;cpv_24;0.07179945278077406
42;cpv_18;0.06272777542767063
55;cpv_43;0.057598253118954855
25;region_molise;0.048552770086073144
22;region_liguria;0.04214916098463713
40;cpv_15;0.03549609378582884
76;cpv_9;0.030783070487524766
50;cpv_35;0.030655060901731843
67;cpv_70;0.027917334976791455
41;cpv_16;0.019522989296600193
52;cpv_38;0.010507912413892283
51;cpv_37;0.009970474213613908
39;cpv_0;0.009614188559305646
3;creation;0.0
0;award;0.0
