;feature_name;feature_importance_value
73;duration_partial_dd;123.02846951171813
12;tender_amount;64.28464911637455
11;variant;37.883547999331164
1;contract_end;30.816095032831527
9;suspension;12.628265732512066
7;status;7.653936466894156
5;publication_it;5.744639096621741
6;reprise;4.064225962010645
18;region_centrale;4.0089740454094445
8;subcontract;3.4107487434348287
36;region_veneto;3.2839201881307325
28;region_provincia_autonoma_di_bolzano;2.462110732620459
23;region_lombardia;2.413534392293959
13;framework;2.2666185010348223
29;region_provincia_autonoma_di_trento;2.0863188974742566
33;region_toscana;1.8624913380823669
19;region_emilia_romagna;1.7439126659801267
24;region_marche;1.44605295793239
0;award;1.1978099987378428
20;region_friuli_venezia_giulia;1.178065771749432
30;region_puglia;1.177099684534162
27;region_piemonte;0.8572633418104345
21;region_lazio;0.846309483870005
54;cpv_45;0.732058865143065
32;region_sicilia;0.7145809953571027
2;contract_start;0.6950409625586111
17;region_campania;0.633359153257452
35;region_valle_daosta;0.49722104837227804
31;region_sardegna;0.47197214272935756
38;sector_speciali;0.44433288539413907
15;region_basilicata;0.42551228474669467
37;sector_ordinari;0.3657615159086239
34;region_umbria;0.3640411771514605
4;publication_eu;0.3529557721142363
14;region_abruzzo;0.34648571981532444
56;cpv_50;0.3323245358523787
16;region_calabria;0.32226520403609965
26;region_non_classificato;0.24952204737229156
45;cpv_34;0.18249036526299298
53;cpv_44;0.17321685907783693
25;region_molise;0.143862309610087
43;cpv_32;0.11737826158292353
67;cpv_79;0.07098145000743863
51;cpv_42;0.0655787031437247
22;region_liguria;0.06194282589727401
70;cpv_90;0.0602470588608192
62;cpv_71;0.04544862874987953
66;cpv_77;0.04421034283953608
42;cpv_31;0.03184658865860799
71;cpv_92;0.031049376048433268
50;cpv_41;0.030343993612974077
69;cpv_9;0.02870542086492159
49;cpv_39;0.028207335338935272
46;cpv_35;0.025261105326487118
72;cpv_98;0.02273026770422358
10;testing;0.021247487438277365
47;cpv_37;0.02022522639483246
52;cpv_43;0.01096576824319181
60;cpv_65;0.010864915854209137
61;cpv_70;0.010471794183106781
57;cpv_51;0.010408616312385299
48;cpv_38;0.009323483570060994
68;cpv_85;0.008708666622038699
59;cpv_63;0.006679629705350439
63;cpv_72;0.005663454871414959
64;cpv_75;0.005469381607225229
58;cpv_60;0.0033298274764096076
44;cpv_33;0.0033005237265658544
55;cpv_48;0.0031470326885950826
41;cpv_3;0.002092066059584652
65;cpv_76;0.0004909284497118368
40;cpv_24;0.0
39;cpv_14;0.0
3;creation;0.0
