;feature_name;feature_importance_value
159;duration_partial_dd;127.86973175342584
98;tender_amount;29.049009884405223
88;event_10_;17.958406690410044
78;event_9_;15.881288286975055
68;event_8_;12.424187968735897
58;event_7_;8.75987126574377
48;event_6_;8.362219219228038
38;event_5_;4.388450300192292
104;region_centrale;4.178819390491988
83;event_9_status;4.049386059815724
63;event_7_status;3.413159087958504
73;event_8_status;3.1311889250612204
93;event_10_status;3.1150336586838474
13;event_2_contract_start;2.714499347200999
27;event_3_suspension;2.4395949538184536
95;event_10_suspension;2.435498452627962
25;event_3_status;2.3827254085896836
33;event_4_status;1.9462569300986485
43;event_5_status;1.9114658240748028
90;event_10_contract_end;1.8669547266288524
53;event_6_status;1.6925667902880441
26;event_3_subcontract;1.65280162621769
109;region_lombardia;1.5990556072478448
122;region_veneto;1.5887331715224149
92;event_10_reprise;1.489458515781715
75;event_8_suspension;1.4654252055764883
55;event_6_suspension;1.444394348666187
80;event_9_contract_end;1.431177384328891
85;event_9_suspension;1.3968541306111775
30;event_4_contract_end;1.3745752394351802
11;event_2_award;1.342487813908196
70;event_8_contract_end;1.285269474527688
37;event_4_variant;1.2729821420170353
5;event_1_publication_it;1.2612991912024891
105;region_emilia_romagna;1.1046017071753431
34;event_4_subcontract;1.0760891337793506
65;event_7_suspension;1.059367417914745
99;framework;1.0293890300132436
18;event_2_subcontract;1.0273369998622552
116;region_puglia;0.9422100691828145
94;event_10_subcontract;0.9413928747191311
57;event_6_variant;0.9377419718379287
45;event_5_suspension;0.9048161369910209
119;region_toscana;0.8994423185287946
67;event_7_variant;0.8902154660905163
28;event_3_variant;0.8757872994389162
82;event_9_reprise;0.8690849947899506
110;region_marche;0.8393435722625757
19;event_2_suspension;0.8213739614747233
50;event_6_contract_end;0.8087328308384902
118;region_sicilia;0.7860522057665397
42;event_5_reprise;0.7671193460850837
60;event_7_contract_end;0.754886414216144
1;event_1_award;0.7494106992762114
74;event_8_subcontract;0.6766796835028144
72;event_8_reprise;0.6604438032385567
47;event_5_variant;0.6553262035670439
107;region_lazio;0.6471429441324212
84;event_9_subcontract;0.6383987266122255
52;event_6_reprise;0.6330198730872835
103;region_campania;0.621443906202447
35;event_4_suspension;0.6093279473929111
87;event_9_variant;0.595924661057757
32;event_4_reprise;0.5847609518884805
62;event_7_reprise;0.5824199699743449
117;region_sardegna;0.5622192524717162
40;event_5_contract_end;0.5442145445187062
64;event_7_subcontract;0.538348121267285
114;region_provincia_autonoma_di_bolzano;0.5348780559107618
23;event_3_contract_start;0.5146011734573562
77;event_8_variant;0.49798797769690284
31;event_4_contract_start;0.4819697791917815
97;event_10_variant;0.46574295927581855
102;region_calabria;0.45083936150105347
115;region_provincia_autonoma_di_trento;0.44977162730287645
140;cpv_45;0.43369633742045566
44;event_5_subcontract;0.431743761918483
54;event_6_subcontract;0.42039237983948535
22;event_3_contract_end;0.3956100275564975
113;region_piemonte;0.3905020703472278
106;region_friuli_venezia_giulia;0.3901630416498801
24;event_3_reprise;0.33954864168464427
20;event_2_variant;0.33218644685797655
123;sector_ordinari;0.28818420330089833
142;cpv_50;0.28245293580973013
100;region_abruzzo;0.25279720271313605
121;region_valle_daosta;0.25172564420763466
124;sector_speciali;0.24450849422669
101;region_basilicata;0.24038123273176853
66;event_7_testing;0.22215211855882486
120;region_umbria;0.20100965963142026
46;event_5_testing;0.19206004891815492
21;event_3_award;0.190673895414264
112;region_non_classificato;0.1532063901757138
41;event_5_contract_start;0.1422740545688699
56;event_6_testing;0.12609838681682115
111;region_molise;0.1253375376821581
4;event_1_publication_eu;0.11496525651937808
131;cpv_34;0.11301155994561676
96;event_10_testing;0.08855347014276602
139;cpv_44;0.08709889516213548
76;event_8_testing;0.08281648372682321
3;event_1_contract_start;0.0812214477480456
39;event_5_award;0.08025235313493893
29;event_4_award;0.07301268801533724
137;cpv_42;0.07205182322081775
17;event_2_status;0.06755873214266638
86;event_9_testing;0.062319787068532646
129;cpv_32;0.058569922714665545
36;event_4_testing;0.05649987184656726
152;cpv_77;0.05481881966997015
9;event_1_suspension;0.04797505798881072
51;event_6_contract_start;0.047014912080091606
8;event_1_subcontract;0.036002156015121925
49;event_6_award;0.03599814498958064
153;cpv_79;0.03269162577050428
108;region_liguria;0.03048643827533283
156;cpv_90;0.029840520277087355
59;event_7_award;0.029805171517140214
71;event_8_contract_start;0.026612008233680557
12;event_2_contract_end;0.025139149320827243
148;cpv_71;0.023201815142460194
79;event_9_award;0.020619920039314128
91;event_10_contract_start;0.019276064144790044
61;event_7_contract_start;0.018535521060390213
157;cpv_92;0.018405020023168378
128;cpv_31;0.01805412920046141
15;event_2_publication_it;0.016808999077538894
132;cpv_35;0.01625046377233617
155;cpv_9;0.014987191165264872
10;event_1_variant;0.013546588333375997
14;event_2_publication_eu;0.012374797952205538
133;cpv_37;0.011769361710492362
16;event_2_reprise;0.010965617676217591
135;cpv_39;0.010261091627455771
136;cpv_41;0.010092633671935197
158;cpv_98;0.009585120227296797
146;cpv_65;0.009572037784560691
138;cpv_43;0.009036889636311314
2;event_1_contract_end;0.008082787154447586
81;event_9_contract_start;0.0070636092075300125
89;event_10_award;0.006786066115980683
154;cpv_85;0.00665413683716722
7;event_1_status;0.006226569180263247
143;cpv_51;0.005550105055607007
145;cpv_63;0.004261260764058115
149;cpv_72;0.0039661891099445935
69;event_8_award;0.0031897556913031023
130;cpv_33;0.0021611379053939925
150;cpv_75;0.0019607500798358365
127;cpv_3;0.001397684198867407
147;cpv_70;0.0013555732355167735
6;event_1_reprise;0.001224280208915559
126;cpv_24;0.0006295394734984749
141;cpv_48;0.0005015577579777582
151;cpv_76;0.0002115938222695808
144;cpv_60;0.0
134;cpv_38;0.0
125;cpv_14;0.0
0;event_0_creation;0.0
