;feature_name;feature_importance_value
72;duration_partial_dd;81.08670646138667
11;tender_amount;80.22837629403334
5;publication_it;6.620287396679175
17;region_centrale;5.450877850704605
35;region_veneto;5.14669071494441
27;region_provincia_autonoma_di_bolzano;4.820243988390633
2;contract_start;3.1871139431806625
8;subcontract;2.9410541042995577
10;variant;2.850621870923151
22;region_lombardia;2.6894303576331198
12;framework;2.5334751927548607
18;region_emilia_romagna;2.5265820521158138
23;region_marche;2.2500074355027437
32;region_toscana;1.4701145337809252
31;region_sicilia;1.2359030038055756
19;region_friuli_venezia_giulia;1.122337351690634
28;region_provincia_autonoma_di_trento;0.999555218294989
26;region_piemonte;0.8199889564114877
29;region_puglia;0.8151370623520573
9;suspension;0.7881847687803466
53;cpv_45;0.6721976312347747
55;cpv_50;0.6443196537787084
36;sector_ordinari;0.6333384055605612
20;region_lazio;0.623741271384544
37;sector_speciali;0.5321650034536646
4;publication_eu;0.4946904620767033
16;region_campania;0.4488899903230205
34;region_valle_daosta;0.40861577534831595
14;region_basilicata;0.3805527713715247
30;region_sardegna;0.34469087984258173
1;contract_end;0.3335220133185092
13;region_abruzzo;0.30072534941241064
7;status;0.2986425853982577
33;region_umbria;0.29852480082907407
15;region_calabria;0.28021699782824144
24;region_molise;0.27360662657961077
44;cpv_34;0.2415625506700285
25;region_non_classificato;0.23251700190815494
0;award;0.13605786763336503
42;cpv_32;0.11882552064008142
52;cpv_44;0.10456907462457246
71;cpv_98;0.09459144774634848
50;cpv_42;0.07358880050595548
66;cpv_79;0.06714664686525
21;region_liguria;0.06476428051188847
69;cpv_90;0.051234207398867096
65;cpv_77;0.04822819269934388
49;cpv_41;0.04173902988331057
6;reprise;0.036537600384131036
61;cpv_71;0.03553570470839254
41;cpv_31;0.035277298133338714
68;cpv_9;0.03313248341069336
48;cpv_39;0.03164153887699409
45;cpv_35;0.02848849208492179
70;cpv_92;0.026428603440769274
59;cpv_65;0.014918743053400735
60;cpv_70;0.01108139080589988
56;cpv_51;0.010887264038302206
51;cpv_43;0.009798436984664321
67;cpv_85;0.00771378493413688
43;cpv_33;0.007514182130721817
58;cpv_63;0.006956382298812786
63;cpv_75;0.006698316295270806
46;cpv_37;0.006598541673751589
47;cpv_38;0.004477297519199259
62;cpv_72;0.003011735024478893
57;cpv_60;0.0029764466985285265
39;cpv_24;0.0014967841057311273
54;cpv_48;0.0007550444538143936
38;cpv_14;0.0005790912528088821
3;creation;0.0
64;cpv_76;0.0
40;cpv_3;0.0
