;feature_name;feature_importance_value
1;tender_amount;106.26584485069836
7;region_centrale;8.803829480066748
25;region_veneto;8.232796006962014
8;region_emilia_romagna;5.05710325056214
2;framework;4.115937501642076
12;region_lombardia;3.6604052971023373
13;region_marche;3.4320039300613026
9;region_friuli_venezia_giulia;2.697379160203481
22;region_toscana;2.5298881903476165
19;region_puglia;2.4501526447176767
17;region_provincia_autonoma_di_bolzano;1.9381111048150739
10;region_lazio;1.746467059711694
21;region_sicilia;1.3729680525714825
16;region_piemonte;1.183277457305498
6;region_campania;1.1247674073146632
43;cpv_45;0.9475457474090644
23;region_umbria;0.8643415126755777
18;region_provincia_autonoma_di_trento;0.8360921955182665
45;cpv_50;0.7929659873091413
26;sector_ordinari;0.7170835594492697
20;region_sardegna;0.6909504943960108
15;region_non_classificato;0.6728467372697458
5;region_calabria;0.6527982149653022
27;sector_speciali;0.6340271127122701
4;region_basilicata;0.552312376743008
24;region_valle_daosta;0.47361879762481257
14;region_molise;0.4695161207067107
3;region_abruzzo;0.46818789753701384
34;cpv_34;0.35386650796528474
32;cpv_32;0.24217938787213758
42;cpv_44;0.19472558385748293
40;cpv_42;0.11658023283988739
61;cpv_98;0.10544708368307468
58;cpv_9;0.10179230797438953
59;cpv_90;0.100602901222321
56;cpv_79;0.09378278642244049
55;cpv_77;0.08409345008443966
38;cpv_39;0.05976957792244694
11;region_liguria;0.05848413425808318
51;cpv_71;0.052890513353666554
39;cpv_41;0.04415922255335616
60;cpv_92;0.03954801384428796
31;cpv_31;0.03399724239721014
41;cpv_43;0.026623643253376968
49;cpv_65;0.02088351786654254
35;cpv_35;0.018772349153940323
36;cpv_37;0.017939423896458438
53;cpv_75;0.01722000619260167
46;cpv_51;0.01243218229409605
57;cpv_85;0.012140890301738701
48;cpv_63;0.010592653160493135
52;cpv_72;0.010115756592017211
37;cpv_38;0.009580280362181674
50;cpv_70;0.00806857734960082
33;cpv_33;0.007890819105883042
54;cpv_76;0.006460615052592635
47;cpv_60;0.0033045835803192968
28;cpv_14;0.0018461713285877152
29;cpv_24;0.0010961797716378344
30;cpv_3;0.00047887286187813655
0;creation;0.0
44;cpv_48;0.0
62;duration_partial_dd;0.0
